#Datasets	 737_NS_BLASTOutput_2StepCombined	 737_WS_BLASTOutput_2StepCombined	Log2 737NS+1	Log2 737WS+1	Log2 Fold Change
ENOG410Z98C Streptococcal surface antigen repeat	0	47	0	5.5849625007	-5.5849625007
COG0028 acetolactate synthase	2	106	1.5849625007	6.7414669864	-5.1565044857
COG0119 Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate) (By similarity)	0	30	0	4.9541963104	-4.9541963104
COG3525 ec 3.2.1.52	0	28	0	4.8579809951	-4.8579809951
ENOG411248X Cell Wall	0	26	0	4.7548875022	-4.7548875022
COG3579 aminopeptidase c	2	78	1.5849625007	6.3037807482	-4.7188182475
COG0242 Removes the formyl group from the N-terminal Met of newly synthesized proteins. Requires at least a dipeptide for an efficient rate of reaction. N-terminal L-methionine is a prerequisite for activity but the enzyme has broad specificity at other positions (By similarity)	1	46	1	5.5545888517	-4.5545888517
COG1621 Hydrolase	0	20	0	4.3923174228	-4.3923174228
ENOG410YESU	0	19	0	4.3219280949	-4.3219280949
COG1026 peptidase	0	18	0	4.2479275134	-4.2479275134
COG0510 Ethanolamine kinase	0	17	0	4.1699250014	-4.1699250014
COG4750 cytidylyltransferase choline kinase	0	17	0	4.1699250014	-4.1699250014
COG1979 alcohol dehydrogenase	0	17	0	4.1699250014	-4.1699250014
COG2706 6-phosphogluconolactonase	0	17	0	4.1699250014	-4.1699250014
COG1060 Catalyzes the radical-mediated transfer of the hydroxybenzyl group from 4-hydroxyphenylpyruvate (HPP) to 5-amino- 6-ribitylamino-2,4(1H,3H)-pyrimidinedione to form 7,8-didemethyl- 8-hydroxy-5-deazariboflavin (FO) (By similarity)	0	17	0	4.1699250014	-4.1699250014
COG1368 Sulfatase	0	16	0	4.0874628413	-4.0874628413
COG0337 3-dehydroquinate synthase	0	16	0	4.0874628413	-4.0874628413
COG0719 Fe-S assembly protein	8	151	3.1699250014	7.2479275134	-4.078002512
COG4463 transcriptional regulator, ctsr	1	31	1	5	-4
COG0816 Could be a nuclease that resolves Holliday junction intermediates in genetic recombination (By similarity)	0	15	0	4	-4
COG1038 Catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second (By similarity)	9	150	3.3219280949	7.2384047393	-3.9164766444
COG0520 cysteine desulfurase	0	13	0	3.8073549221	-3.8073549221
COG1105 1-phosphofructokinase	1	27	1	4.8073549221	-3.8073549221
COG0789 Transcriptional regulator	0	12	0	3.7004397181	-3.7004397181
COG1668 (ABC) transporter	0	12	0	3.7004397181	-3.7004397181
COG1605 Chorismate mutase	0	12	0	3.7004397181	-3.7004397181
COG1211 Catalyzes the formation of 4-diphosphocytidyl-2-C- methyl-D-erythritol from CTP and 2-C-methyl-D-erythritol 4- phosphate (MEP) (By similarity)	0	11	0	3.5849625007	-3.5849625007
COG1335 isochorismatase	0	11	0	3.5849625007	-3.5849625007
COG2352 phosphoenolpyruvate carboxylase activity	3	46	2	5.5545888517	-3.5545888517
COG4477 modulates the frequency and position of FtsZ ring formation. Inhibits FtsZ ring formation at polar sites. Interacts either with FtsZ or with one of its binding partners to promote depolymerization (By similarity)	5	68	2.5849625007	6.1085244568	-3.5235619561
COG1349 transcriptional regulator DeoR family	1	22	1	4.5235619561	-3.5235619561
COG1674 cell division protein FtsK	0	10	0	3.4594316186	-3.4594316186
ENOG410YAHP glucan endo-1-3-beta-glucosidase	0	10	0	3.4594316186	-3.4594316186
ENOG41121V9 Glutaredoxin	1	21	1	4.4594316186	-3.4594316186
COG3684 Aldolase	3	41	2	5.3923174228	-3.3923174228
COG0283 Cytidine monophosphate kinase	2	30	1.5849625007	4.9541963104	-3.3692338097
ENOG4111NIG Peptidase M15B and M15C DD-carboxypeptidase VanY, endolysin	0	9	0	3.3219280949	-3.3219280949
COG1586 Catalyzes the decarboxylation of S-adenosylmethionine to S-adenosylmethioninamine (dcAdoMet), the propylamine donor required for the synthesis of the polyamines spermine and spermidine from the diamine putrescine (By similarity)	0	9	0	3.3219280949	-3.3219280949
COG2897 sulfurtransferase	0	9	0	3.3219280949	-3.3219280949
COG3250 hydrolase family 2	1	18	1	4.2479275134	-3.2479275134
COG0371 Dehydrogenase	2	27	1.5849625007	4.8073549221	-3.2223924213
COG1725 Transcriptional regulator, GntR family	0	8	0	3.1699250014	-3.1699250014
COG3708 Transcriptional regulator	0	8	0	3.1699250014	-3.1699250014
COG0275 Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA (By similarity)	0	8	0	3.1699250014	-3.1699250014
COG1876 Carboxypeptidase	0	8	0	3.1699250014	-3.1699250014
ENOG4111JX2 phosphatidylethanolamine N-methyltransferase	0	8	0	3.1699250014	-3.1699250014
COG0082 5-enolpyruvylshikimate-3-phosphate phospholyase	0	8	0	3.1699250014	-3.1699250014
COG0129 Dihydroxy-acid dehydratase	11	107	3.5849625007	6.7548875022	-3.1699250014
COG0710 Type I DHQase	0	8	0	3.1699250014	-3.1699250014
ENOG410XPUZ Removes N-terminal dipeptides sequentially from polypeptides having unsubstituted N-termini provided that the penultimate residue is proline (By similarity)	0	8	0	3.1699250014	-3.1699250014
COG3425 hydroxymethylglutaryl-CoA synthase activity	0	8	0	3.1699250014	-3.1699250014
COG0289 Catalyzes the conversion of 4-hydroxy- tetrahydrodipicolinate (HTPA) to tetrahydrodipicolinate (By similarity)	1	17	1	4.1699250014	-3.1699250014
COG0364 Glucose-6-phosphate 1-dehydrogenase	3	35	2	5.1699250014	-3.1699250014
COG0593 it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids (By similarity)	1	16	1	4.0874628413	-3.0874628413
COG1304 Catalyzes the 1,3-allylic rearrangement of the homoallylic substrate isopentenyl (IPP) to its allylic isomer, dimethylallyl diphosphate (DMAPP) (By similarity)	1	16	1	4.0874628413	-3.0874628413
COG3830 UPF0237 protein	1	16	1	4.0874628413	-3.0874628413
COG0301 Catalyzes the ATP-dependent transfer of a sulfur to tRNA to produce 4-thiouridine in position 8 of tRNAs, which functions as a near-UV photosensor. Also catalyzes the transfer of sulfur to the sulfur carrier protein ThiS, forming ThiS-thiocarboxylate. This is a step in the synthesis of thiazole, in the thiamine biosynthesis pathway. The sulfur is donated as persulfide by IscS (By similarity)	1	16	1	4.0874628413	-3.0874628413
COG0396 feS assembly ATPase SufC	9	81	3.3219280949	6.3575520046	-3.0356239097
COG3590 endothelin-converting enzyme	7	64	3	6.022367813	-3.022367813
COG0498 threonine synthase	4	39	2.3219280949	5.3219280949	-3
COG2344 Modulates transcription in response to changes in cellular NADH NAD( ) redox state (By similarity)	0	7	0	3	-3
COG2740 Nucleic-acid-binding protein implicated in transcription termination	0	7	0	3	-3
COG3663 U mismatch-specific DNA glycosylase	0	7	0	3	-3
COG3935 DNA replication protein DnaD	0	7	0	3	-3
COG0357 Specifically methylates the N7 position of a guanine in 16S rRNA (By similarity)	0	7	0	3	-3
COG1338 Flagellar biosynthetic protein FliP	0	7	0	3	-3
COG0804 Urea amidohydrolase subunit alpha	0	7	0	3	-3
ENOG410XR0E levansucrase EC 2.4.1.10	0	7	0	3	-3
COG0351 phosphomethylpyrimidine kinase	0	7	0	3	-3
COG0308 aminopeptidase	13	104	3.8073549221	6.7142455177	-2.9068905956
COG0474 P-type atpase	2	21	1.5849625007	4.4594316186	-2.8744691179
COG1187 pseudouridine synthase activity	3	28	2	4.8579809951	-2.8579809951
COG3599 Divisome component that associates with the complex late in its assembly, after the Z-ring is formed, and is dependent on DivIC and PBP2B for its recruitment to the divisome. Together with EzrA, is a key component of the system that regulates PBP1 localization during cell cycle progression. Its main role could be the removal of PBP1 from the cell pole after pole maturation is completed. Also contributes to the recruitment of PBP1 to the division complex. Not essential for septum formation (By similarity)	13	97	3.8073549221	6.6147098441	-2.8073549221
COG3557 UPF0374 protein	0	6	0	2.8073549221	-2.8073549221
ENOG410XUB6 Transcriptional regulator, MarR Family	0	6	0	2.8073549221	-2.8073549221
COG0632 The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing. RuvA stimulates, in the presence of DNA, the weak ATPase activity of RuvB (By similarity)	0	6	0	2.8073549221	-2.8073549221
COG2230 cyclopropane-fatty-acyl-phospholipid synthase	0	6	0	2.8073549221	-2.8073549221
COG0602 Catalyzes the conversion of 6-carboxy-5,6,7,8- tetrahydropterin (CPH4) to 7-carboxy-7-deazaguanine (CDG) (By similarity)	0	6	0	2.8073549221	-2.8073549221
