og	gos
ENOG410Z98C	GO:0043169,GO:0046872,GO:0005488,GO:0043167,GO:0005618,GO:0044464,GO:0005623,GO:0030312,GO:0071944,GO:0005576
COG0028	GO:0003824,GO:0005488,GO:0043167,GO:1901363,GO:0043168,GO:0050662,GO:0036094,GO:0048037,GO:0097159,GO:0043169,GO:0030976,GO:1901681,GO:0019842,GO:0046872,GO:0000287,GO:0016740,GO:0016744,GO:0003984,GO:1901265,GO:0000166,GO:0050660,GO:0016829,GO:0016830,GO:0016831,GO:0008152,GO:0044710,GO:0071704,GO:0009987,GO:0044237,GO:0044281,GO:0044249,GO:0009058,GO:1901576,GO:0043436,GO:0006082,GO:0019752,GO:1901564,GO:0006807,GO:0044238,GO:0009082,GO:0006520,GO:0044283,GO:0044711,GO:0008652,GO:0009081,GO:1901566,GO:0016053,GO:0046394,GO:1901605,GO:0006573,GO:1901607,GO:0006549,GO:0009099,GO:0009097
COG0119	GO:0003824,GO:0016740,GO:0046912,GO:0016746,GO:0003852,GO:0016829,GO:0016833,GO:0016830,GO:0004419,GO:0004410,GO:0005488,GO:0008701,GO:0043167,GO:0046872,GO:0043169,GO:0046914,GO:0030145,GO:0008152,GO:0009987,GO:0044237,GO:0044710,GO:0044281,GO:0019752,GO:0071704,GO:0043436,GO:0006082,GO:0044249,GO:0009058,GO:0044711,GO:0044283,GO:0006807,GO:0044238,GO:1901564,GO:0006520,GO:1901605,GO:0008652,GO:1901576,GO:1901566,GO:0016053,GO:0046394,GO:1901607,GO:0009081,GO:0006551,GO:0009082,GO:0009098,GO:0006725,GO:0009056,GO:0019439,GO:0044248
COG3525	GO:0004553,GO:0003824,GO:0016798,GO:0016787,GO:0015929,GO:0004563,GO:0005488,GO:0030246,GO:0030247,GO:0001871,GO:0008152,GO:0005975,GO:0071704,GO:0044238,GO:0044699,GO:0009987,GO:0044763,GO:0022610,GO:0007155,GO:0044464,GO:0005623,GO:0016020
ENOG411248X	GO:0005618,GO:0044464,GO:0071944,GO:0005623,GO:0030312,GO:0016020,GO:0005576
COG3579	GO:0008233,GO:0016787,GO:0008234,GO:0003824,GO:0070011,GO:0004175,GO:0004197,GO:0004177,GO:0008238,GO:0008152,GO:0071704,GO:0044238,GO:0019538,GO:0006508,GO:0043170,GO:0005737,GO:0044464,GO:0005623,GO:0005622,GO:0044424
COG0242	GO:0016787,GO:0003824,GO:0016810,GO:0016811,GO:0042586,GO:0005488,GO:0043169,GO:0046914,GO:0043167,GO:0005506,GO:0046872,GO:0008152,GO:0044260,GO:0071704,GO:0009987,GO:0044238,GO:0044237,GO:0043170,GO:0044267,GO:0019538,GO:0034645,GO:0044249,GO:1901576,GO:0009058,GO:0009059,GO:0010467,GO:0006412
COG1621	GO:0004553,GO:0016787,GO:0003824,GO:0016798,GO:0004564,GO:0004575,GO:0015926,GO:0004558,GO:0031219,GO:0008152,GO:0005975,GO:0044238,GO:0071704,GO:0009987,GO:0044237,GO:0005623,GO:0044464,GO:0005737,GO:0005622,GO:0044424
ENOG410YESU	GO:0005618,GO:0071944,GO:0044464,GO:0005623,GO:0030312
COG1026	GO:0003824,GO:0046872,GO:0005488,GO:0043167,GO:0043169,GO:0016787,GO:0008233,GO:0008237,GO:0070011,GO:0004175,GO:0004222,GO:0008152,GO:0019538,GO:0043170,GO:0071704,GO:0044238,GO:0006508,GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0005737,GO:0043229,GO:0043227,GO:0043226,GO:0005739,GO:0043231,GO:0044444
COG0510	GO:0016772,GO:0003824,GO:0016740,GO:0016301,GO:0016773,GO:0004305,GO:0004103,GO:0016310,GO:0008152,GO:0009987,GO:0044237,GO:0006796,GO:0006793,GO:0071704,GO:0044710,GO:0009058,GO:0046474,GO:0019637,GO:1901576,GO:0090407,GO:0044249,GO:0044238,GO:0006629,GO:0008654,GO:0046486,GO:0006644,GO:0044255,GO:0006650,GO:0045017,GO:0008610,GO:0006657,GO:0044281,GO:1901564,GO:0006807,GO:0034641,GO:1901566,GO:0006656,GO:0006576,GO:0009308,GO:0042439,GO:1901615,GO:0044106,GO:0006066,GO:0044711,GO:0044283,GO:1901617,GO:0046165,GO:0046470
COG4750	GO:0003824,GO:0016740,GO:0016772,GO:0016779,GO:0016301,GO:0005488,GO:0043168,GO:0043167,GO:0048037,GO:0030170,GO:0008483,GO:0016769,GO:0004105,GO:0070567,GO:0008152,GO:0009987,GO:0044237,GO:0006796,GO:0006793,GO:0016310,GO:0009058,GO:0006657,GO:0071704,GO:0044238,GO:0006807,GO:0044281,GO:0044710,GO:1901564,GO:0006656,GO:0006650,GO:0044249,GO:0034641,GO:0044283,GO:0046486,GO:0045017,GO:0044711,GO:0006644,GO:0006629,GO:0009308,GO:1901576,GO:0046165,GO:0044106,GO:0042439,GO:0044255,GO:0090407,GO:0008610,GO:1901566,GO:0006576,GO:0008654,GO:1901617,GO:0006066,GO:0019637,GO:0046474,GO:0046470,GO:1901615
COG1979	GO:0016491,GO:0043169,GO:0043167,GO:0046872,GO:0003824,GO:0005488,GO:0016614,GO:0016616,GO:0004022,GO:0044710,GO:0008152,GO:0055114
COG2706	GO:0003824,GO:0016787,GO:0017057,GO:0052689,GO:0016788,GO:0008152,GO:0044710,GO:0055114,GO:0019320,GO:0006739,GO:0006732,GO:0006733,GO:0046496,GO:0034641,GO:0006098,GO:0044281,GO:0072524,GO:1901360,GO:0006139,GO:0051186,GO:0071704,GO:0046365,GO:0046483,GO:0006740,GO:0019318,GO:0009987,GO:0006725,GO:1901575,GO:0009117,GO:0044723,GO:1901564,GO:0009056,GO:0055086,GO:0044724,GO:0044238,GO:0006007,GO:0005975,GO:0005996,GO:0016052,GO:0044237,GO:0006796,GO:0006807,GO:0006793,GO:0019637,GO:0006006,GO:0006753,GO:0019362
COG1060	GO:0003824,GO:0051536,GO:0005488,GO:0051540,GO:0051539,GO:0016765,GO:0016740,GO:0043167,GO:0043169,GO:0046872,GO:0046914,GO:0005506,GO:0044689,GO:0008152,GO:0009987,GO:0044237,GO:0051186,GO:0044249,GO:0009058,GO:0051188,GO:0044710,GO:0044281,GO:1901576,GO:0071704,GO:0044711,GO:0044283,GO:1901663,GO:1901661,GO:0009234,GO:0009233,GO:0042181,GO:0042180,GO:0009228,GO:1901362,GO:1901360,GO:0046483,GO:1901564,GO:1901566,GO:0019438,GO:0006807,GO:0018130,GO:0044271,GO:0034641,GO:0006725,GO:0006772,GO:0006767,GO:0006766,GO:0044272,GO:0042723,GO:0042724,GO:0042364,GO:0072528,GO:0072527,GO:0009110,GO:0006790,GO:0006732,GO:0009108
COG1368	GO:0003824,GO:0016787,GO:0008484,GO:0016788,GO:0016740,GO:0008960,GO:0016780,GO:0016772,GO:0008152
COG0337	GO:0016829,GO:0003824,GO:0016835,GO:0003856,GO:0016838,GO:0016740,GO:0016301,GO:0016772,GO:0005488,GO:0043167,GO:0000166,GO:1901363,GO:0043168,GO:1901265,GO:0036094,GO:0097159,GO:0035639,GO:0001883,GO:0032549,GO:0017076,GO:0001882,GO:0005524,GO:0030554,GO:0032559,GO:0032555,GO:0032550,GO:0032553,GO:0016773,GO:0004765,GO:0016765,GO:0016491,GO:0003855,GO:0004764,GO:0016614,GO:0016616,GO:0016836,GO:0003866,GO:0008152,GO:0009987,GO:0044237,GO:0044710,GO:0019752,GO:0044249,GO:0044281,GO:0044283,GO:1901576,GO:0044711,GO:0071704,GO:0009058,GO:0043436,GO:0006082,GO:0046394,GO:0016053,GO:0008652,GO:0044238,GO:0006807,GO:1901362,GO:1901360,GO:0006520,GO:0006725,GO:0009072,GO:0009073,GO:1901564,GO:1901566,GO:0019438,GO:0043650,GO:0043648,GO:0009423,GO:0046417,GO:0016310,GO:0006796,GO:0006793,GO:0055114,GO:0044464,GO:0005623,GO:0005737,GO:0005622,GO:0044424
COG0719	GO:0008152,GO:0071840,GO:0016043,GO:0031163,GO:0022607,GO:0016226,GO:0009058,GO:0044085
COG4463	GO:0050789,GO:0065007,GO:0050794
COG0816	GO:0016787,GO:0016788,GO:0003824,GO:0005488,GO:0003676,GO:1901363,GO:0097159,GO:0004518,GO:0090305,GO:0006139,GO:0034641,GO:0006807,GO:0071704,GO:1901360,GO:0009987,GO:0006725,GO:0008152,GO:0046483,GO:0044238,GO:0044237,GO:0090304,GO:0044699,GO:0051716,GO:0044260,GO:0006281,GO:0006974,GO:0006950,GO:0044763,GO:0006310,GO:0050896,GO:0043170,GO:0033554,GO:0006259,GO:0005737,GO:0044464,GO:0005623,GO:0005622,GO:0044424
COG1038	GO:0003824,GO:0016874,GO:0005488,GO:1901363,GO:0097159,GO:0043167,GO:0000166,GO:0043168,GO:0036094,GO:0035639,GO:0001883,GO:0001882,GO:1901265,GO:0032549,GO:0017076,GO:0005524,GO:0030554,GO:0032559,GO:0032555,GO:0032550,GO:0032553,GO:0016879,GO:0004075,GO:0016885,GO:0004736,GO:0043169,GO:0046872,GO:0003676,GO:0003677,GO:0008152,GO:0071704,GO:0044238,GO:0046364,GO:0044723,GO:0006094,GO:1901576,GO:0019318,GO:0019319,GO:0009058,GO:0005975,GO:0005996,GO:0016051,GO:0006006
COG0520	GO:0003824,GO:0005488,GO:0043168,GO:0043167,GO:0048037,GO:0030170,GO:0016740,GO:0016783,GO:0016782,GO:0031071,GO:0008483,GO:0016769,GO:0016829,GO:0008152,GO:0009987,GO:0044237,GO:0071704,GO:0044238,GO:0006807,GO:1901564,GO:0044710,GO:0044281,GO:0043436,GO:0006082,GO:0019752,GO:0006520,GO:0006790,GO:0000096,GO:1901605,GO:0009069,GO:0006534
COG1105	GO:0016301,GO:0016773,GO:0016740,GO:0003824,GO:0016772,GO:0019200,GO:0008443,GO:0008662,GO:0009024,GO:0005488,GO:0043167,GO:1901363,GO:0097159,GO:0035639,GO:0001883,GO:0001882,GO:0043168,GO:0000166,GO:1901265,GO:0032549,GO:0017076,GO:0005524,GO:0036094,GO:0030554,GO:0032559,GO:0032555,GO:0032550,GO:0032553,GO:0008152,GO:0009987,GO:0005975,GO:0044237,GO:0016310,GO:0006796,GO:0006793,GO:0071704,GO:0044238,GO:0044262,GO:0046835,GO:0044723,GO:1901575,GO:0016052,GO:0009056,GO:0044724,GO:0009311,GO:0009313,GO:0005988,GO:0005984,GO:0046352,GO:0044275,GO:0019512,GO:0005990
COG0789	GO:0005488,GO:1901363,GO:0097159,GO:0036094,GO:0000166,GO:1901265,GO:0001071,GO:0003700,GO:0003676,GO:0003677,GO:0046872,GO:0043169,GO:0043167,GO:0046914,GO:0005507,GO:0005506,GO:0080090,GO:0019222,GO:0050789,GO:0065007,GO:0050794,GO:0031323,GO:0060255,GO:2001141,GO:0009889,GO:0006355,GO:0010556,GO:0051252,GO:0031326,GO:2000112,GO:0010468,GO:0019219,GO:0051171,GO:0010605,GO:0048519,GO:0009892,GO:0009890,GO:0010629,GO:0010558,GO:0045892,GO:0051253,GO:0031327,GO:0031324,GO:2000113,GO:0045934,GO:0051172,GO:0048523,GO:0050896,GO:0006950,GO:0010604,GO:0048518,GO:0009893,GO:0009891,GO:0010557,GO:0045893,GO:0051254,GO:0010628,GO:0031328,GO:0031325,GO:0045935,GO:0051173,GO:0048522,GO:0006979
COG1668	GO:0016020
COG1605	GO:0003824,GO:0016853,GO:0016866,GO:0004106,GO:0016829,GO:0016835,GO:0016836,GO:0004664,GO:0005488,GO:0043167,GO:0043168,GO:0016597,GO:0031406,GO:0016491,GO:0016628,GO:0016627,GO:0008977,GO:0004665,GO:0016830,GO:0016832,GO:0008152,GO:0044710,GO:0009987,GO:0071704,GO:0044237,GO:0044281,GO:0043436,GO:0006082,GO:0019752,GO:0043648,GO:0046417,GO:0009058,GO:0044711,GO:1901576,GO:0044249,GO:0044283,GO:1901362,GO:1901360,GO:1901564,GO:1901566,GO:0016053,GO:0019438,GO:0006807,GO:0008652,GO:0046394,GO:0006725,GO:0009073,GO:0006520,GO:0009072,GO:0044238,GO:1901605,GO:1901607,GO:0009095,GO:1902223,GO:1902221,GO:0009094,GO:0006558,GO:0055114,GO:0006571,GO:0006570,GO:0044464,GO:0005623,GO:0005737,GO:0005622,GO:0044424
COG1211	GO:0003824,GO:0016740,GO:0016779,GO:0016772,GO:0050518,GO:0070567,GO:0005488,GO:0043167,GO:0043169,GO:0016829,GO:0046872,GO:0008685,GO:0016849,GO:0008152,GO:1901576,GO:0044249,GO:0009987,GO:0071704,GO:0009058,GO:0044237,GO:0044238,GO:0044710,GO:0006629,GO:0006720,GO:0044255,GO:0008299,GO:0008610,GO:1901135,GO:0044281,GO:0032787,GO:0043436,GO:0019637,GO:0046490,GO:0090407,GO:0008654,GO:0006644,GO:0006081,GO:0006082,GO:0019752,GO:0019288,GO:0006090,GO:0019682,GO:0009240,GO:0006796,GO:0006793,GO:0016114,GO:0006721
COG1335	GO:0003824,GO:0016787,GO:0016810,GO:0016811,GO:0008936,GO:0016801,GO:0016803,GO:0004463,GO:0008908,GO:0008152
COG2352	GO:0003824,GO:0008964,GO:0016829,GO:0004611,GO:0016830,GO:0016831,GO:0005488,GO:0043169,GO:0000287,GO:0043167,GO:0046872,GO:0008152,GO:0009987,GO:0044710,GO:0044237,GO:0006099,GO:0015977,GO:0006091,GO:0071704,GO:0044238,GO:0045333,GO:0055114,GO:0015980,GO:0009060,GO:0019752,GO:0044281,GO:0006107,GO:0043436,GO:0043648,GO:0006082
COG4477	GO:0022607,GO:0070271,GO:0043933,GO:0034622,GO:0071840,GO:0071822,GO:0000921,GO:0016043,GO:0065003,GO:0044699,GO:0031106,GO:0009987,GO:0006461,GO:0044763,GO:0070925,GO:0043623,GO:0006996,GO:0007010,GO:0032185,GO:0044085,GO:0007049,GO:0051301,GO:0022402,GO:0032506,GO:0000917,GO:0090529,GO:0000910,GO:0016020,GO:0044464,GO:0005623,GO:0071944,GO:0043229,GO:0043228,GO:0043226,GO:0031224,GO:0005737,GO:0005940,GO:0016021,GO:0044430,GO:0005856,GO:0032156,GO:0005938,GO:0043232,GO:0005622,GO:0044446,GO:0044444,GO:0044448,GO:0044424,GO:0044425,GO:0044422,GO:0005886
COG1349	GO:0005488,GO:0003700,GO:0001071,GO:0003676,GO:0003677,GO:1901363,GO:0097159,GO:0080090,GO:0019222,GO:0060255,GO:2001141,GO:0050789,GO:0065007,GO:0009889,GO:0050794,GO:0006355,GO:0010556,GO:0051252,GO:0031326,GO:0031323,GO:2000112,GO:0010468,GO:0019219,GO:0051171,GO:0009987,GO:0008152,GO:0071704,GO:0044238,GO:0044237,GO:1901362,GO:1901360,GO:0046483,GO:0019438,GO:0006807,GO:1901576,GO:0044260,GO:0018130,GO:0016070,GO:0044271,GO:0006351,GO:0032774,GO:0044249,GO:0034641,GO:0034645,GO:0006139,GO:0006725,GO:0043170,GO:0090304,GO:0010467,GO:0009058,GO:0009059,GO:0034654,GO:0044464,GO:0005623,GO:0005622
COG1674	GO:0005488,GO:1901363,GO:0097159,GO:0003676,GO:0003677,GO:0035639,GO:0043167,GO:1901265,GO:0001882,GO:0043168,GO:0000166,GO:0001883,GO:0032549,GO:0017076,GO:0005524,GO:0036094,GO:0030554,GO:0032559,GO:0032555,GO:0032550,GO:0032553,GO:0016787,GO:0003824,GO:0017111,GO:0016818,GO:0016817,GO:0016462,GO:0009987,GO:0044699,GO:0044763,GO:0051301,GO:0007049,GO:0007059,GO:0008152,GO:0016020,GO:0016021,GO:0044425,GO:0031224
