# MetaGOmics GO comparison report
# MetaGOmics version: 0.1.1
# Run date: Mon Mar 05 02:10:03 PST 2018
# Run1 = 737NS_Peptide_Shaker_on_data_5
# Run2 = 737WS_Peptide_Shaker_on_data_6
GO acc	GO aspect	GO name	Run 1 ratio	Run 1 PSM count	Run 2 ratio	Run 2 PSM count	Log(2) fold change	Raw p-value	Bonf. corr. p-value	Laplace corr. Run 1 ratio	Laplace corr. Run 2 ratio	Laplace corr. Log(2) fold change	Laplace corr. Raw p-value	Laplace corr. Bonf. corr p-value	Laplace corr. q-value
GO:0002244	biological_process	hematopoietic progenitor cell differentiation	5.4543471146503765E-5	3	1.9712590431508603E-5	1	-1.4682891428927292	3.58E-01	1.00E+00	7.021485746383936E-5	3.79542651105418E-5	-0.8875143194971429	4.71E-01	1.00E+00	6.00E-01
GO:0050796	biological_process	regulation of insulin secretion	1.8181157048834587E-5	1	3.9425180863017206E-5	2	1.1166733578284251	5.17E-01	1.00E+00	3.510742873191968E-5	5.6931397665812695E-5	0.697448181224015	5.93E-01	1.00E+00	6.88E-01
GO:0050793	biological_process	regulation of developmental process	0.005527071742845714	304	0.008732677561158312	443	0.6599087329398605	5.06E-10	9.94E-07	0.00535388288161775	0.00842584685454028	0.6542361144027167	6.78E-10	1.33E-06	3.92E-09
GO:0051640	biological_process	organelle localization	3.4544198392785715E-4	19	0.001143330245027499	58	1.7267268395124145	1.55E-06	3.05E-03	3.5107428731919675E-4	0.001119650820760983	1.6732006349773378	2.14E-06	4.21E-03	8.36E-06
GO:0050794	biological_process	regulation of cellular process	0.054307116104868915	2987	0.06928975536675275	3515	0.35150080947753404	2.01E-24	3.95E-21	0.05245049852548799	0.06672359806433248	0.34724060285702585	7.79E-24	1.53E-20	9.06E-23
GO:0051641	biological_process	cellular localization	0.001054507108832406	58	0.002976601155157799	151	1.4970971020259345	2.07E-12	4.06E-09	0.0010356691475916305	0.0028845241484011766	1.4777701445846034	2.94E-12	5.79E-09	2.01E-11
GO:0050790	biological_process	regulation of catalytic activity	0.00309079669830188	170	0.00339056555421948	172	0.1335471763928222	3.91E-01	1.00E+00	0.003001685156579132	0.0032830439320618654	0.12926139325368524	4.05E-01	1.00E+00	5.32E-01
GO:0098732	biological_process	macromolecule deacylation	1.8181157048834587E-4	10	0.0	0	null	2.39E-03	1.00E+00	1.9309085802555822E-4	1.89771325552709E-5	-3.3469459381344393	5.89E-03	1.00E+00	1.39E-02
GO:2000113	biological_process	negative regulation of cellular macromolecule biosynthetic process	0.0016544852914439476	91	0.0034497033255140057	175	1.0600898294620595	5.83E-09	1.15E-05	0.001614941721668305	0.003339975329727678	1.0483553430831432	7.45E-09	1.46E-05	3.90E-08
GO:2000112	biological_process	regulation of cellular macromolecule biosynthetic process	0.0251263590414894	1382	0.03818328766583217	1937	0.603739696043422	2.41E-34	4.74E-31	0.024276786968122455	0.036777682892115	0.5992530947674464	7.67E-34	1.51E-30	1.22E-32
