Unclassified	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species	Subspecies	No. Peptides	Spectral Count (Krona)	
	Bacteria	Unknown Kingdom	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	Veillonella sp. oral taxon 158	Veillonella sp. oral taxon 158 str. F0412	2	5	
	Unknown Superkingdom	Unknown Kingdom	Unknown Phylum	Unknown Class	Unknown Order	Unknown Family	Unknown Genus	Unknown Species	Unknown Subspecies	163	249	
	Bacteria	Unknown Kingdom	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus macacae	Streptococcus macacae NCTC 11558	1	1	
	Bacteria	Unknown Kingdom	Unknown Phylum	Unknown Class	Unknown Order	Unknown Family	Unknown Genus	Unknown Species	Unknown Subspecies	1	1	
	Bacteria	Unknown Kingdom	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Steptococcus equi subsp. zooepidemicus H70	Streptococcus equi subsp. zooepidemicus	1	2	
	Bacteria	Unknown Kingdom	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis	Unknown Subspecies	2	2	
	Bacteria	Unknown Kingdom	Firmicutes	Bacilli	Lactobacillales	Unknown Family	Unknown Genus	Unknown Species	Unknown Subspecies	3	10	
	Bacteria	Unknown Kingdom	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Unknown Genus	Unknown Species	Unknown Subspecies	2	2	
	Bacteria	Unknown Kingdom	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	Veillonella dispar	Veillonella dispar ATCC 17748	1	1	
	Bacteria	Unknown Kingdom	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	Veillonella sp. DORA_A_3_16_22	Unknown Subspecies	1	1	
	Bacteria	Unknown Kingdom	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus equinus	Streptococcus equinus ATCC 9812	1	2	
	Bacteria	Unknown Kingdom	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	Veillonella parvula	Veillonella parvula ATCC 17745	1	1	
	Bacteria	Unknown Kingdom	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus dysgalactiae	Streptococcus dysgalactiae subsp. equisimilis	1	1	
	Bacteria	Unknown Kingdom	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	Granulicatella adiacens	Granulicatella adiacens ATCC 49175	3	3	
	Bacteria	Unknown Kingdom	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Unknown Species	Unknown Subspecies	12	15	
	Bacteria	Unknown Kingdom	Firmicutes	Unknown Class	Unknown Order	Unknown Family	Unknown Genus	Unknown Species	Unknown Subspecies	2	2	
	Bacteria	Unknown Kingdom	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. oral taxon 071	Streptococcus sp. oral taxon 071 str. 73H25AP	1	1	
	Bacteria	Unknown Kingdom	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. BS35b	Unknown Subspecies	1	2	
	Bacteria	Unknown Kingdom	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	Unknown Species	Unknown Subspecies	37	59	
	Bacteria	Unknown Kingdom	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sanguinis	Unknown Subspecies	2	3	
	Bacteria	Unknown Kingdom	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	Unknown Species	Unknown Subspecies	1	2	
	Bacteria	Unknown Kingdom	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	Veillonella sp. 6_1_27	Unknown Subspecies	2	2	
	Bacteria	Unknown Kingdom	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	Veillonella atypica	Veillonella atypica KON	1	1	
