#peptides,GO term,Name,
7012,GO:0006412,translation,
2728,GO:0008152,metabolic process,
1997,GO:0006351,"transcription, DNA-templated",
1855,GO:0005975,carbohydrate metabolic process,
1812,GO:0006520,cellular amino acid metabolic process,
1639,GO:0006096,glycolytic process,
1324,GO:0055085,transmembrane transport,
1284,GO:0006457,protein folding,
1267,GO:0022900,electron transport chain,
839,GO:0006355,"regulation of transcription, DNA-templated",
816,GO:0051301,cell division,
793,GO:0006094,gluconeogenesis,
716,GO:0045454,cell redox homeostasis,
660,GO:0007049,cell cycle,
584,GO:0015986,ATP synthesis coupled proton transport,
538,GO:0006633,fatty acid biosynthetic process,
534,GO:0006099,tricarboxylic acid cycle,
525,GO:0006006,glucose metabolic process,
489,GO:0019556,histidine catabolic process to glutamate and formamide,
487,GO:0019557,histidine catabolic process to glutamate and formate,
481,GO:0042026,protein refolding,
476,GO:0009405,pathogenesis,
472,GO:0015031,protein transport,
426,GO:0006260,DNA replication,
396,GO:0006281,DNA repair,
383,GO:0055114,oxidation-reduction process,
380,GO:0071555,cell wall organization,
364,GO:0008360,regulation of cell shape,
361,GO:0009252,peptidoglycan biosynthetic process,
360,GO:0006879,cellular iron ion homeostasis,
359,GO:0006548,histidine catabolic process,
353,GO:0009401,phosphoenolpyruvate-dependent sugar phosphotransferase system,
337,GO:0019547,arginine catabolic process to ornithine,
320,GO:0006950,response to stress,
318,GO:0006535,cysteine biosynthetic process from serine,
316,GO:0006417,regulation of translation,
302,GO:0006085,acetyl-CoA biosynthetic process,
296,GO:0009116,nucleoside metabolic process,
294,GO:0000160,phosphorelay signal transduction system,
291,GO:0090529,cell septum assembly,
290,GO:0006541,glutamine metabolic process,
286,GO:0006082,organic acid metabolic process,
274,GO:0016114,terpenoid biosynthetic process,
263,GO:0006310,DNA recombination,
262,GO:0006605,protein targeting,
261,GO:0006177,GMP biosynthetic process,
260,GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",
260,GO:0065002,intracellular protein transmembrane transport,
257,GO:0035999,tetrahydrofolate interconversion,
249,GO:0006402,mRNA catabolic process,
240,GO:0006570,tyrosine metabolic process,
239,GO:0006098,pentose-phosphate shunt,
238,GO:0006730,one-carbon metabolic process,
234,GO:0006420,arginyl-tRNA aminoacylation,
228,GO:0050992,dimethylallyl diphosphate biosynthetic process,
226,GO:0006396,RNA processing,
220,GO:0009058,biosynthetic process,
219,GO:0006430,lysyl-tRNA aminoacylation,
219,GO:0042254,ribosome biogenesis,
213,GO:0006084,acetyl-CoA metabolic process,
213,GO:0030261,chromosome condensation,
209,GO:0006090,pyruvate metabolic process,
209,GO:0006071,glycerol metabolic process,
208,GO:0000902,cell morphogenesis,
208,GO:0006428,isoleucyl-tRNA aminoacylation,
201,GO:0006426,glycyl-tRNA aminoacylation,
200,GO:0043093,FtsZ-dependent cytokinesis,
196,GO:0017038,protein import,
183,GO:0015833,peptide transport,
181,GO:0006189,'de novo' IMP biosynthetic process,
180,GO:0005978,glycogen biosynthetic process,
180,GO:0044205,'de novo' UMP biosynthetic process,
179,GO:1901137,carbohydrate derivative biosynthetic process,
178,GO:0006826,iron ion transport,
176,GO:0006265,DNA topological change,
174,GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,
173,GO:0009432,SOS response,
171,GO:0030001,metal ion transport,
169,GO:0006432,phenylalanyl-tRNA aminoacylation,
163,GO:0006261,DNA-dependent DNA replication,
162,GO:0009245,lipid A biosynthetic process,
161,GO:0009236,cobalamin biosynthetic process,
160,GO:0009097,isoleucine biosynthetic process,
158,GO:0009165,nucleotide biosynthetic process,
155,GO:0006353,"DNA-templated transcription, termination",
154,GO:0006629,lipid metabolic process,
151,GO:0030388,"fructose 1,6-bisphosphate metabolic process",
151,GO:0006221,pyrimidine nucleotide biosynthetic process,
147,GO:0044208,'de novo' AMP biosynthetic process,
145,GO:0019475,L-lysine catabolic process to acetate,
144,GO:0009605,response to external stimulus,
144,GO:0006434,seryl-tRNA aminoacylation,
143,GO:0006662,glycerol ether metabolic process,
138,GO:0006419,alanyl-tRNA aminoacylation,
138,GO:2001295,malonyl-CoA biosynthetic process,
137,GO:0006424,glutamyl-tRNA aminoacylation,
136,GO:0006814,sodium ion transport,
135,GO:0051258,protein polymerization,
133,GO:0006015,5-phosphoribose 1-diphosphate biosynthetic process,
132,GO:0009408,response to heat,
128,GO:0006422,aspartyl-tRNA aminoacylation,
126,GO:0006072,glycerol-3-phosphate metabolic process,
126,GO:0007155,cell adhesion,
125,GO:0044209,AMP salvage,
124,GO:0097056,selenocysteinyl-tRNA(Sec) biosynthetic process,
123,GO:0016260,selenocysteine biosynthetic process,
123,GO:0006979,response to oxidative stress,
122,GO:0006525,arginine metabolic process,
117,GO:0031564,transcription antitermination,
117,GO:0042777,plasma membrane ATP synthesis coupled proton transport,
115,GO:0009089,lysine biosynthetic process via diaminopimelate,
115,GO:0009099,valine biosynthetic process,
113,GO:0009166,nucleotide catabolic process,
112,GO:0006012,galactose metabolic process,
112,GO:0044210,'de novo' CTP biosynthetic process,
111,GO:0008643,carbohydrate transport,
110,GO:0006526,arginine biosynthetic process,
105,GO:0006531,aspartate metabolic process,
105,GO:0006415,translational termination,
104,GO:0019563,glycerol catabolic process,
102,GO:0006435,threonyl-tRNA aminoacylation,
101,GO:0015992,proton transmembrane transport,
100,GO:0044206,UMP salvage,
99,GO:0033554,cellular response to stress,
96,GO:0006438,valyl-tRNA aminoacylation,
95,GO:0009156,ribonucleoside monophosphate biosynthetic process,
95,GO:0016485,protein processing,
95,GO:0009103,lipopolysaccharide biosynthetic process,
92,GO:0006431,methionyl-tRNA aminoacylation,
91,GO:0044238,primary metabolic process,
91,GO:0006515,protein quality control for misfolded or incompletely synthesized proteins,
90,GO:0042128,nitrate assimilation,
90,GO:0042823,pyridoxal phosphate biosynthetic process,
90,GO:0006108,malate metabolic process,
90,GO:0006364,rRNA processing,
90,GO:0009435,NAD biosynthetic process,
89,GO:0043952,protein transport by the Sec complex,
87,GO:0006223,uracil salvage,
87,GO:0009231,riboflavin biosynthetic process,
87,GO:0006631,fatty acid metabolic process,
83,GO:0006421,asparaginyl-tRNA aminoacylation,
82,GO:0032784,"regulation of DNA-templated transcription, elongation",
81,GO:0030163,protein catabolic process,
77,GO:0006048,UDP-N-acetylglucosamine biosynthetic process,
76,GO:0042853,L-alanine catabolic process,
76,GO:0006865,amino acid transport,
75,GO:0030435,sporulation resulting in formation of a cellular spore,
75,GO:0006002,fructose 6-phosphate metabolic process,
75,GO:0009253,peptidoglycan catabolic process,
74,GO:0006433,prolyl-tRNA aminoacylation,
74,GO:0008654,phospholipid biosynthetic process,
73,GO:0006427,histidyl-tRNA aminoacylation,
73,GO:0006164,purine nucleotide biosynthetic process,
72,GO:0000027,ribosomal large subunit assembly,
72,GO:0015976,carbon utilization,
72,GO:0035556,intracellular signal transduction,
71,GO:0006106,fumarate metabolic process,
71,GO:0009086,methionine biosynthetic process,
71,GO:0008033,tRNA processing,
70,GO:0006066,alcohol metabolic process,
68,GO:0006429,leucyl-tRNA aminoacylation,
68,GO:0009088,threonine biosynthetic process,
65,GO:0006508,proteolysis,
64,GO:0006298,mismatch repair,
63,GO:0045892,"negative regulation of transcription, DNA-templated",
62,GO:0006556,S-adenosylmethionine biosynthetic process,
60,GO:0009263,deoxyribonucleotide biosynthetic process,
59,GO:0019516,lactate oxidation,
59,GO:0009264,deoxyribonucleotide catabolic process,
57,GO:0009061,anaerobic respiration,
57,GO:0015846,polyamine transport,
56,GO:0006166,purine ribonucleoside salvage,
56,GO:0006352,"DNA-templated transcription, initiation",
55,GO:0051205,protein insertion into membrane,
53,GO:0006354,"DNA-templated transcription, elongation",
52,GO:0006437,tyrosyl-tRNA aminoacylation,
52,GO:0043165,Gram-negative-bacterium-type cell outer membrane assembly,
52,GO:0006782,protoporphyrinogen IX biosynthetic process,
52,GO:0006418,tRNA aminoacylation for protein translation,
50,GO:0006777,Mo-molybdopterin cofactor biosynthetic process,
50,GO:0006614,SRP-dependent cotranslational protein targeting to membrane,
49,GO:0019264,glycine biosynthetic process from serine,
49,GO:0044237,cellular metabolic process,
49,GO:0015074,DNA integration,
49,GO:0007018,microtubule-based movement,
48,GO:0043171,peptide catabolic process,
48,GO:0009098,leucine biosynthetic process,
48,GO:0097171,ADP-L-glycero-beta-D-manno-heptose biosynthetic process,
47,GO:0042278,purine nucleoside metabolic process,
47,GO:0009117,nucleotide metabolic process,
46,GO:0009102,biotin biosynthetic process,
46,GO:0006289,nucleotide-excision repair,
46,GO:0006518,peptide metabolic process,
46,GO:0046677,response to antibiotic,
44,GO:0019877,diaminopimelate biosynthetic process,
44,GO:0045333,cellular respiration,
44,GO:0006436,tryptophanyl-tRNA aminoacylation,
44,GO:0016226,iron-sulfur cluster assembly,
44,GO:0006139,nucleobase-containing compound metabolic process,
44,GO:0009306,protein secretion,
44,GO:0019752,carboxylic acid metabolic process,
43,GO:0019251,anaerobic cobalamin biosynthetic process,
42,GO:0007059,chromosome segregation,
41,GO:0019521,D-gluconate metabolic process,
41,GO:0001123,transcription initiation from bacterial-type RNA polymerase promoter,
41,GO:0008616,queuosine biosynthetic process,
41,GO:0006779,porphyrin-containing compound biosynthetic process,
40,GO:0006400,tRNA modification,
40,GO:0006935,chemotaxis,
39,GO:0009228,thiamine biosynthetic process,
38,GO:0006304,DNA modification,
38,GO:0046034,ATP metabolic process,
37,GO:0043094,cellular metabolic compound salvage,
37,GO:0019277,UDP-N-acetylgalactosamine biosynthetic process,
37,GO:0006284,base-excision repair,
36,GO:0019358,nicotinate nucleotide salvage,
36,GO:0006313,"transposition, DNA-mediated",
36,GO:0019538,protein metabolic process,
35,GO:0000302,response to reactive oxygen species,
35,GO:0046168,glycerol-3-phosphate catabolic process,
35,GO:0045727,positive regulation of translation,
35,GO:0009267,cellular response to starvation,
34,GO:0006725,cellular aromatic compound metabolic process,
34,GO:0009113,purine nucleobase biosynthetic process,
34,GO:0006650,glycerophospholipid metabolic process,
32,GO:0009152,purine ribonucleotide biosynthetic process,
31,GO:0046167,glycerol-3-phosphate biosynthetic process,
31,GO:0015937,coenzyme A biosynthetic process,
31,GO:0071973,bacterial-type flagellum-dependent cell motility,
30,GO:0006561,proline biosynthetic process,
30,GO:0000105,histidine biosynthetic process,
29,GO:0019294,keto-3-deoxy-D-manno-octulosonic acid biosynthetic process,
29,GO:0006044,N-acetylglucosamine metabolic process,
29,GO:0042126,nitrate metabolic process,
28,GO:0006423,cysteinyl-tRNA aminoacylation,
28,GO:0019464,glycine decarboxylation via glycine cleavage system,
28,GO:0010133,proline catabolic process to glutamate,
28,GO:0009073,aromatic amino acid family biosynthetic process,
28,GO:0030259,lipid glycosylation,
27,GO:0009399,nitrogen fixation,
27,GO:0018149,peptide cross-linking,
26,GO:0019509,L-methionine salvage from methylthioadenosine,
26,GO:0006011,UDP-glucose metabolic process,
26,GO:0006542,glutamine biosynthetic process,
26,GO:0019305,dTDP-rhamnose biosynthetic process,
26,GO:0006269,"DNA replication, synthesis of RNA primer",
26,GO:0031424,keratinization,
25,GO:0045910,negative regulation of DNA recombination,
25,GO:0009164,nucleoside catabolic process,
25,GO:0009423,chorismate biosynthetic process,
25,GO:1901135,carbohydrate derivative metabolic process,
25,GO:0055072,iron ion homeostasis,
25,GO:0006813,potassium ion transport,
25,GO:0016310,phosphorylation,
25,GO:0009081,branched-chain amino acid metabolic process,
25,GO:0070268,cornification,
25,GO:0006886,intracellular protein transport,
24,GO:0009225,nucleotide-sugar metabolic process,
24,GO:0032264,IMP salvage,
24,GO:0070981,L-asparagine biosynthetic process,
24,GO:0046336,ethanolamine catabolic process,
24,GO:0042274,ribosomal small subunit biogenesis,
24,GO:0043066,negative regulation of apoptotic process,
24,GO:0071897,DNA biosynthetic process,
23,GO:0019262,N-acetylneuraminate catabolic process,
23,GO:0006796,phosphate-containing compound metabolic process,
23,GO:0046654,tetrahydrofolate biosynthetic process,
23,GO:0006807,nitrogen compound metabolic process,
23,GO:0015969,guanosine tetraphosphate metabolic process,
23,GO:0000271,polysaccharide biosynthetic process,
23,GO:0001522,pseudouridine synthesis,
23,GO:0050728,negative regulation of inflammatory response,
23,GO:0015891,siderophore transport,
23,GO:0007586,digestion,
22,GO:0045150,acetoin catabolic process,
22,GO:0006567,threonine catabolic process,
22,GO:0015942,formate metabolic process,
22,GO:0009307,DNA restriction-modification system,
22,GO:0016042,lipid catabolic process,
22,GO:0007165,signal transduction,
21,GO:0046386,deoxyribose phosphate catabolic process,
21,GO:0045226,extracellular polysaccharide biosynthetic process,
21,GO:0006226,dUMP biosynthetic process,
21,GO:0016052,carbohydrate catabolic process,
21,GO:0006464,cellular protein modification process,
21,GO:0061436,establishment of skin barrier,
21,GO:0001867,"complement activation, lectin pathway",
20,GO:0006168,adenine salvage,
20,GO:0071266,'de novo' L-methionine biosynthetic process,
20,GO:0046080,dUTP metabolic process,
20,GO:1902604,p-aminobenzoyl-glutamate transmembrane transport,
20,GO:0006811,ion transport,
20,GO:0006241,CTP biosynthetic process,
20,GO:1903506,regulation of nucleic acid-templated transcription,
19,GO:0051262,protein tetramerization,
19,GO:0006470,protein dephosphorylation,
19,GO:0042426,choline catabolic process,
19,GO:0030632,D-alanine biosynthetic process,
19,GO:0017004,cytochrome complex assembly,
19,GO:0044780,bacterial-type flagellum assembly,
18,GO:0002098,tRNA wobble uridine modification,
18,GO:0019354,siroheme biosynthetic process,
18,GO:0006425,glutaminyl-tRNA aminoacylation,
18,GO:0019836,hemolysis by symbiont of host erythrocytes,
18,GO:0051659,maintenance of mitochondrion location,
18,GO:0008299,isoprenoid biosynthetic process,
18,GO:0006644,phospholipid metabolic process,
18,GO:0016192,vesicle-mediated transport,
17,GO:0042558,pteridine-containing compound metabolic process,
17,GO:0019310,inositol catabolic process,
17,GO:0033512,L-lysine catabolic process to acetyl-CoA via saccharopine,
