#peptides,GO term,Name,
11110,GO:0005524,ATP binding,
6736,GO:0003735,structural constituent of ribosome,
5747,GO:0046872,metal ion binding,
4510,GO:0019843,rRNA binding,
4178,GO:0003677,DNA binding,
3468,GO:0005525,GTP binding,
3064,GO:0003746,translation elongation factor activity,
3050,GO:0003924,GTPase activity,
2858,GO:0000287,magnesium ion binding,
2183,GO:0051539,"4 iron, 4 sulfur cluster binding",
2019,GO:0000049,tRNA binding,
1903,GO:0008270,zinc ion binding,
1893,GO:0016740,transferase activity,
1872,GO:0016491,oxidoreductase activity,
1692,GO:0009055,electron transfer activity,
1639,GO:0005506,iron ion binding,
1503,GO:0003824,catalytic activity,
1439,GO:0050660,flavin adenine dinucleotide binding,
1239,GO:0016301,kinase activity,
1239,GO:0016829,lyase activity,
1217,GO:0051082,unfolded protein binding,
1191,GO:0051287,NAD binding,
1181,GO:0003676,nucleic acid binding,
1125,GO:0030976,thiamine pyrophosphate binding,
1089,GO:0016903,"oxidoreductase activity, acting on the aldehyde or oxo group of donors",
1079,GO:0016787,hydrolase activity,
1040,GO:0016887,ATPase activity,
1017,GO:0003723,RNA binding,
891,GO:0003899,DNA-directed 5'-3' RNA polymerase activity,
798,GO:0016639,"oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor",
771,GO:0030170,pyridoxal phosphate binding,
769,GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",
732,GO:0008410,CoA-transferase activity,
721,GO:0051536,iron-sulfur cluster binding,
710,GO:0031419,cobalamin binding,
693,GO:0050661,NADP binding,
662,GO:0046933,"proton-transporting ATP synthase activity, rotational mechanism",
616,GO:0003755,peptidyl-prolyl cis-trans isomerase activity,
590,GO:0010181,FMN binding,
566,GO:0003700,DNA binding transcription factor activity,
555,GO:0016874,ligase activity,
496,GO:0004634,phosphopyruvate hydratase activity,
492,GO:0008861,formate C-acetyltransferase activity,
488,GO:0016853,isomerase activity,
478,GO:0003995,acyl-CoA dehydrogenase activity,
456,GO:0000166,nucleotide binding,
455,GO:0016747,"transferase activity, transferring acyl groups other than amino-acyl groups",
439,GO:0004085,butyryl-CoA dehydrogenase activity,
437,GO:0002161,aminoacyl-tRNA editing activity,
435,GO:0005198,structural molecule activity,
419,GO:0016831,carboxy-lyase activity,
403,GO:0043565,sequence-specific DNA binding,
395,GO:0003985,acetyl-CoA C-acetyltransferase activity,
382,GO:0046983,protein dimerization activity,
380,GO:0004332,fructose-bisphosphate aldolase activity,
378,GO:0018801,glutaconyl-CoA decarboxylase activity,
376,GO:0008199,ferric iron binding,
368,GO:0008237,metallopeptidase activity,
362,GO:0018730,glutaconate CoA-transferase activity,
349,GO:0047371,butyrate-acetoacetate CoA-transferase activity,
348,GO:0016597,amino acid binding,
333,GO:0051213,dioxygenase activity,
332,GO:0032549,ribonucleoside binding,
329,GO:0008233,peptidase activity,
318,GO:0004585,ornithine carbamoyltransferase activity,
314,GO:0004252,serine-type endopeptidase activity,
308,GO:0004124,cysteine synthase activity,
299,GO:0050066,"lysine 2,3-aminomutase activity",
290,GO:0015035,protein disulfide oxidoreductase activity,
286,GO:0008776,acetate kinase activity,
267,GO:0004177,aminopeptidase activity,
264,GO:0004618,phosphoglycerate kinase activity,
263,GO:0004612,phosphoenolpyruvate carboxykinase (ATP) activity,
262,GO:0070180,large ribosomal subunit rRNA binding,
257,GO:0003988,acetyl-CoA C-acyltransferase activity,
256,GO:0030145,manganese ion binding,
255,GO:0008483,transaminase activity,
255,GO:0008168,methyltransferase activity,
250,GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",
249,GO:0003743,translation initiation factor activity,
246,GO:0003729,mRNA binding,
243,GO:0050371,tyrosine phenol-lyase activity,
240,GO:0004022,alcohol dehydrogenase (NAD) activity,
234,GO:0004814,arginine-tRNA ligase activity,
232,GO:0008948,oxaloacetate decarboxylase activity,
231,GO:0030955,potassium ion binding,
228,GO:0051745,4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity,
224,GO:0000104,succinate dehydrogenase activity,
223,GO:0003989,acetyl-CoA carboxylase activity,
220,GO:0016153,urocanate hydratase activity,
219,GO:0004824,lysine-tRNA ligase activity,
218,GO:0016836,hydro-lyase activity,
218,GO:0000155,phosphorelay sensor kinase activity,
217,GO:0047826,"D-lysine 5,6-aminomutase activity",
216,GO:0097367,carbohydrate derivative binding,
208,GO:0004822,isoleucine-tRNA ligase activity,
208,GO:0016868,"intramolecular transferase activity, phosphotransferases",
208,GO:0008959,phosphate acetyltransferase activity,
206,GO:0004494,methylmalonyl-CoA mutase activity,
206,GO:0009034,tryptophanase activity,
201,GO:0004820,glycine-tRNA ligase activity,
201,GO:0016779,nucleotidyltransferase activity,
200,GO:0016990,arginine deiminase activity,
199,GO:0016407,acetyltransferase activity,
198,GO:0008982,protein-N(PI)-phosphohistidine-sugar phosphotransferase activity,
197,GO:0004654,polyribonucleotide nucleotidyltransferase activity,
196,GO:0022857,transmembrane transporter activity,
194,GO:0004222,metalloendopeptidase activity,
193,GO:0016805,dipeptidase activity,
193,GO:0103111,D-glucosamine PTS permease activity,
192,GO:0004333,fumarate hydratase activity,
191,GO:0051537,"2 iron, 2 sulfur cluster binding",
189,GO:0004386,helicase activity,
187,GO:0048037,cofactor binding,
183,GO:0004601,peroxidase activity,
182,GO:0004743,pyruvate kinase activity,
181,GO:0004329,formate-tetrahydrofolate ligase activity,
179,GO:0004360,glutamine-fructose-6-phosphate transaminase (isomerizing) activity,
179,GO:0003887,DNA-directed DNA polymerase activity,
179,GO:0046405,glycerol dehydratase activity,
175,GO:0004397,histidine ammonia-lyase activity,
173,GO:0004826,phenylalanine-tRNA ligase activity,
172,GO:0003938,IMP dehydrogenase activity,
168,GO:0018826,methionine gamma-lyase activity,
167,GO:0008134,transcription factor binding,
164,GO:0047702,"beta-lysine 5,6-aminomutase activity",
163,GO:0004519,endonuclease activity,
162,GO:0004586,ornithine decarboxylase activity,
161,GO:0008923,lysine decarboxylase activity,
160,GO:0050242,"pyruvate, phosphate dikinase activity",
154,GO:0046538,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity",
150,GO:0004866,endopeptidase inhibitor activity,
150,GO:0043022,ribosome binding,
150,GO:0008236,serine-type peptidase activity,
148,GO:0016746,"transferase activity, transferring acyl groups",
146,GO:0004828,serine-tRNA ligase activity,
145,GO:0051920,peroxiredoxin activity,
143,GO:0003697,single-stranded DNA binding,
142,GO:0008797,aspartate ammonia-lyase activity,
139,GO:0043546,molybdopterin cofactor binding,
138,GO:0050567,glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity,
138,GO:0004813,alanine-tRNA ligase activity,
138,GO:0050215,propanediol dehydratase activity,
135,GO:0003918,DNA topoisomerase type II (ATP-hydrolyzing) activity,
