#peptides,GO term,Name,
6423,GO:0006412,translation,
2388,GO:0006096,glycolytic process,
2072,GO:0006351,"transcription, DNA-templated",
1822,GO:0006457,protein folding,
1822,GO:0005975,carbohydrate metabolic process,
1529,GO:0008152,metabolic process,
1097,GO:0051301,cell division,
881,GO:0007049,cell cycle,
860,GO:0045454,cell redox homeostasis,
822,GO:0006006,glucose metabolic process,
801,GO:0006355,"regulation of transcription, DNA-templated",
764,GO:0006094,gluconeogenesis,
704,GO:0042026,protein refolding,
673,GO:0009401,phosphoenolpyruvate-dependent sugar phosphotransferase system,
659,GO:0015986,ATP synthesis coupled proton transport,
650,GO:0055085,transmembrane transport,
625,GO:0006950,response to stress,
604,GO:0006520,cellular amino acid metabolic process,
560,GO:0009405,pathogenesis,
545,GO:0022900,electron transport chain,
527,GO:0006260,DNA replication,
517,GO:0006633,fatty acid biosynthetic process,
514,GO:0009097,isoleucine biosynthetic process,
486,GO:0071555,cell wall organization,
470,GO:0006879,cellular iron ion homeostasis,
465,GO:0055114,oxidation-reduction process,
448,GO:0008360,regulation of cell shape,
443,GO:0009252,peptidoglycan biosynthetic process,
443,GO:0015031,protein transport,
394,GO:0030388,"fructose 1,6-bisphosphate metabolic process",
384,GO:0090529,cell septum assembly,
382,GO:0009099,valine biosynthetic process,
379,GO:0043093,FtsZ-dependent cytokinesis,
350,GO:0006099,tricarboxylic acid cycle,
346,GO:0019547,arginine catabolic process to ornithine,
303,GO:0006417,regulation of translation,
296,GO:0009116,nucleoside metabolic process,
296,GO:0009058,biosynthetic process,
294,GO:0006098,pentose-phosphate shunt,
276,GO:0006541,glutamine metabolic process,
271,GO:0042254,ribosome biogenesis,
268,GO:0006281,DNA repair,
266,GO:0006084,acetyl-CoA metabolic process,
265,GO:0006015,5-phosphoribose 1-diphosphate biosynthetic process,
259,GO:0009089,lysine biosynthetic process via diaminopimelate,
250,GO:0006090,pyruvate metabolic process,
243,GO:0009236,cobalamin biosynthetic process,
235,GO:0051258,protein polymerization,
228,GO:0030001,metal ion transport,
223,GO:0044205,'de novo' UMP biosynthetic process,
223,GO:0006265,DNA topological change,
219,GO:0016226,iron-sulfur cluster assembly,
219,GO:0006605,protein targeting,
219,GO:0006420,arginyl-tRNA aminoacylation,
218,GO:0006177,GMP biosynthetic process,
217,GO:0065002,intracellular protein transmembrane transport,
213,GO:0030261,chromosome condensation,
213,GO:0016114,terpenoid biosynthetic process,
210,GO:0019752,carboxylic acid metabolic process,
209,GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",
207,GO:0019877,diaminopimelate biosynthetic process,
205,GO:0006310,DNA recombination,
193,GO:0000160,phosphorelay signal transduction system,
193,GO:0006364,rRNA processing,
191,GO:0017038,protein import,
188,GO:0035999,tetrahydrofolate interconversion,
185,GO:0044208,'de novo' AMP biosynthetic process,
182,GO:0006730,one-carbon metabolic process,
180,GO:0006189,'de novo' IMP biosynthetic process,
177,GO:0050992,dimethylallyl diphosphate biosynthetic process,
175,GO:0006353,"DNA-templated transcription, termination",
175,GO:0006432,phenylalanyl-tRNA aminoacylation,
173,GO:0006435,threonyl-tRNA aminoacylation,
170,GO:0006662,glycerol ether metabolic process,
167,GO:0009088,threonine biosynthetic process,
164,GO:0044209,AMP salvage,
163,GO:0006865,amino acid transport,
163,GO:0007155,cell adhesion,
162,GO:0009245,lipid A biosynthetic process,
162,GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,
159,GO:0009165,nucleotide biosynthetic process,
159,GO:0009264,deoxyribonucleotide catabolic process,
158,GO:0006402,mRNA catabolic process,
157,GO:0031564,transcription antitermination,
157,GO:0006071,glycerol metabolic process,
154,GO:0009432,SOS response,
152,GO:0044206,UMP salvage,
152,GO:0006396,RNA processing,
151,GO:0006426,glycyl-tRNA aminoacylation,
150,GO:0006223,uracil salvage,
150,GO:0009156,ribonucleoside monophosphate biosynthetic process,
150,GO:0006261,DNA-dependent DNA replication,
149,GO:0015976,carbon utilization,
149,GO:0006066,alcohol metabolic process,
148,GO:0032784,"regulation of DNA-templated transcription, elongation",
147,GO:0006430,lysyl-tRNA aminoacylation,
146,GO:0006419,alanyl-tRNA aminoacylation,
146,GO:0006085,acetyl-CoA biosynthetic process,
144,GO:0006002,fructose 6-phosphate metabolic process,
143,GO:0006082,organic acid metabolic process,
