#peptides,GO term,Name,
14557,GO:0005737,cytoplasm,
4528,GO:0016021,integral component of membrane,
4327,GO:0005840,ribosome,
2128,GO:0005886,plasma membrane,
1480,GO:0005576,extracellular region,
1443,GO:0005622,intracellular,
1284,GO:0005623,cell,
1230,GO:0015935,small ribosomal subunit,
822,GO:0016020,membrane,
805,GO:0015934,large ribosomal subunit,
796,GO:0000015,phosphopyruvate hydratase complex,
791,GO:0009986,cell surface,
651,GO:0019867,outer membrane,
631,GO:0045261,"proton-transporting ATP synthase complex, catalytic core F(1)",
552,GO:0043190,ATP-binding cassette (ABC) transporter complex,
532,GO:0005618,cell wall,
319,GO:0032153,cell division site,
307,GO:0009279,cell outer membrane,
221,GO:0005694,chromosome,
156,GO:0005634,nucleus,
125,GO:0030956,glutamyl-tRNA(Gln) amidotransferase complex,
104,GO:0009317,acetyl-CoA carboxylase complex,
100,GO:0005615,extracellular space,
95,GO:0009507,chloroplast,
92,GO:0009360,DNA polymerase III complex,
90,GO:0005887,integral component of plasma membrane,
88,GO:0009325,nitrate reductase complex,
81,GO:0009898,cytoplasmic side of plasma membrane,
71,GO:0005940,septin ring,
66,GO:0005794,Golgi apparatus,
60,GO:0048500,signal recognition particle,
60,GO:0070062,extracellular exosome,
59,GO:0005783,endoplasmic reticulum,
58,GO:0005829,cytosol,
57,GO:0043209,myelin sheath,
55,GO:0045263,"proton-transporting ATP synthase complex, coupling factor F(o)",
55,GO:0043234,protein-containing complex,
51,GO:0030288,outer membrane-bounded periplasmic space,
49,GO:0009331,glycerol-3-phosphate dehydrogenase complex,
49,GO:0042597,periplasmic space,
43,GO:0031226,intrinsic component of plasma membrane,
39,GO:0043590,bacterial nucleoid,
37,GO:0005971,ribonucleoside-diphosphate reductase complex,
37,GO:1990077,primosome complex,
34,GO:0009380,excinuclease repair complex,
32,GO:0005739,mitochondrion,
29,GO:0009536,plastid,
28,GO:0009535,chloroplast thylakoid membrane,
27,GO:0005882,intermediate filament,
26,GO:0019897,extrinsic component of plasma membrane,
25,GO:0016592,mediator complex,
23,GO:0019028,viral capsid,
21,GO:0032993,protein-DNA complex,
20,GO:0016459,myosin complex,
19,GO:0009295,nucleoid,
19,GO:0098794,postsynapse,
18,GO:0045239,tricarboxylic acid cycle enzyme complex,
16,GO:0009318,exodeoxyribonuclease VII complex,
16,GO:0005754,"mitochondrial proton-transporting ATP synthase, catalytic core",
15,GO:0009346,citrate lyase complex,
15,GO:0009375,ferredoxin hydrogenase complex,
15,GO:0005856,cytoskeleton,
14,GO:0005743,mitochondrial inner membrane,
12,GO:1902560,GMP reductase complex,
11,GO:0005759,mitochondrial matrix,
11,GO:0015629,actin cytoskeleton,
10,GO:0031469,polyhedral organelle,
10,GO:0005874,microtubule,
9,GO:0009358,polyphosphate kinase complex,
9,GO:0005758,mitochondrial intermembrane space,
8,GO:0009379,Holliday junction helicase complex,
8,GO:0045095,keratin filament,
8,GO:0019031,viral envelope,
8,GO:0055036,virion membrane,
8,GO:0001533,cornified envelope,
8,GO:0042025,host cell nucleus,
8,GO:0009341,beta-galactosidase complex,
7,GO:0009349,riboflavin synthase complex,
7,GO:0005654,nucleoplasm,
6,GO:0045254,pyruvate dehydrogenase complex,
6,GO:0001518,voltage-gated sodium channel complex,
6,GO:0000139,Golgi membrane,
6,GO:0005796,Golgi lumen,
6,GO:0032300,mismatch repair complex,
6,GO:0000922,spindle pole,
6,GO:0009654,photosystem II oxygen evolving complex,
6,GO:0019898,extrinsic component of membrane,
5,GO:0005833,hemoglobin complex,
5,GO:0033281,TAT protein transport complex,
5,GO:0070469,respiratory chain,
5,GO:0030915,Smc5-Smc6 complex,
5,GO:0030529,ribonucleoprotein complex,
5,GO:0005730,nucleolus,
5,GO:0042651,thylakoid membrane,
5,GO:0009288,bacterial-type flagellum,
5,GO:0034993,meiotic nuclear membrane microtubule tethering complex,
5,GO:0005813,centrosome,
4,GO:0020002,host cell plasma membrane,
4,GO:0070069,cytochrome complex,
4,GO:0009420,bacterial-type flagellum filament,
4,GO:0000791,euchromatin,
4,GO:0000786,nucleosome,
4,GO:0030054,cell junction,
4,GO:0005938,cell cortex,
4,GO:0031011,Ino80 complex,
4,GO:0046930,pore complex,
4,GO:0000145,exocyst,
4,GO:0043564,Ku70:Ku80 complex,
4,GO:0005815,microtubule organizing center,
4,GO:0009941,chloroplast envelope,
4,GO:0030286,dynein complex,
4,GO:0005663,DNA replication factor C complex,
4,GO:0048786,presynaptic active zone,
4,GO:0045278,plasma membrane respiratory chain complex IV,
3,GO:0005680,anaphase-promoting complex,
3,GO:0009431,"bacterial-type flagellum basal body, MS ring",
3,GO:0019773,"proteasome core complex, alpha-subunit complex",
3,GO:0005789,endoplasmic reticulum membrane,
3,GO:0005727,extrachromosomal circular DNA,
3,GO:0019008,molybdopterin synthase complex,
3,GO:0030131,clathrin adaptor complex,
3,GO:0000796,condensin complex,
3,GO:0030906,"retromer, cargo-selective complex",
3,GO:0009570,chloroplast stroma,
3,GO:0042788,polysomal ribosome,
