#peptides,GO term,Name,
11853,GO:0005524,ATP binding,
5890,GO:0003735,structural constituent of ribosome,
5426,GO:0046872,metal ion binding,
3976,GO:0019843,rRNA binding,
3961,GO:0003677,DNA binding,
3533,GO:0000287,magnesium ion binding,
3181,GO:0005525,GTP binding,
2671,GO:0003924,GTPase activity,
2479,GO:0003746,translation elongation factor activity,
2236,GO:0008270,zinc ion binding,
2070,GO:0016491,oxidoreductase activity,
1821,GO:0000049,tRNA binding,
1789,GO:0016740,transferase activity,
1769,GO:0051082,unfolded protein binding,
1380,GO:0016301,kinase activity,
1312,GO:0050661,NADP binding,
1241,GO:0051287,NAD binding,
1065,GO:0003824,catalytic activity,
1060,GO:0016787,hydrolase activity,
1045,GO:0005506,iron ion binding,
1045,GO:0016887,ATPase activity,
1032,GO:0003676,nucleic acid binding,
1003,GO:0051539,"4 iron, 4 sulfur cluster binding",
1000,GO:0003899,DNA-directed 5'-3' RNA polymerase activity,
968,GO:0008233,peptidase activity,
936,GO:0016829,lyase activity,
930,GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",
926,GO:0003723,RNA binding,
809,GO:0050660,flavin adenine dinucleotide binding,
796,GO:0004634,phosphopyruvate hydratase activity,
774,GO:0009055,electron transfer activity,
726,GO:0030170,pyridoxal phosphate binding,
712,GO:0046933,"proton-transporting ATP synthase activity, rotational mechanism",
635,GO:0031419,cobalamin binding,
602,GO:0016853,isomerase activity,
572,GO:0003700,DNA binding transcription factor activity,
566,GO:0003755,peptidyl-prolyl cis-trans isomerase activity,
555,GO:0030976,thiamine pyrophosphate binding,
533,GO:0004494,methylmalonyl-CoA mutase activity,
519,GO:0004177,aminopeptidase activity,
476,GO:0008199,ferric iron binding,
469,GO:0016903,"oxidoreductase activity, acting on the aldehyde or oxo group of donors",
464,GO:0004618,phosphoglycerate kinase activity,
446,GO:0004743,pyruvate kinase activity,
446,GO:0030955,potassium ion binding,
430,GO:0008483,transaminase activity,
414,GO:0004333,fumarate hydratase activity,
411,GO:0103111,D-glucosamine PTS permease activity,
408,GO:0004332,fructose-bisphosphate aldolase activity,
407,GO:0008237,metallopeptidase activity,
405,GO:0008982,protein-N(PI)-phosphohistidine-sugar phosphotransferase activity,
401,GO:0002161,aminoacyl-tRNA editing activity,
401,GO:0051536,iron-sulfur cluster binding,
387,GO:0016874,ligase activity,
374,GO:0000166,nucleotide binding,
340,GO:0032549,ribonucleoside binding,
340,GO:0004736,pyruvate carboxylase activity,
330,GO:0004222,metalloendopeptidase activity,
329,GO:0008168,methyltransferase activity,
324,GO:0051213,dioxygenase activity,
317,GO:0004022,alcohol dehydrogenase (NAD) activity,
314,GO:0004252,serine-type endopeptidase activity,
313,GO:0016597,amino acid binding,
310,GO:0004322,ferroxidase activity,
307,GO:0046983,protein dimerization activity,
301,GO:0015035,protein disulfide oxidoreductase activity,
296,GO:0008861,formate C-acetyltransferase activity,
275,GO:0070180,large ribosomal subunit rRNA binding,
263,GO:0004386,helicase activity,
259,GO:0050567,glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity,
259,GO:0004585,ornithine carbamoyltransferase activity,
239,GO:0004459,L-lactate dehydrogenase activity,
238,GO:0016836,hydro-lyase activity,
234,GO:0030145,manganese ion binding,
227,GO:0004814,arginine-tRNA ligase activity,
224,GO:0004075,biotin carboxylase activity,
222,GO:0016868,"intramolecular transferase activity, phosphotransferases",
221,GO:0004826,phenylalanine-tRNA ligase activity,
218,GO:0004455,ketol-acid reductoisomerase activity,
217,GO:0016407,acetyltransferase activity,
217,GO:0008959,phosphate acetyltransferase activity,
214,GO:0016990,arginine deiminase activity,
213,GO:0016639,"oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor",
205,GO:0004148,dihydrolipoyl dehydrogenase activity,
204,GO:0003729,mRNA binding,
204,GO:0016692,NADH peroxidase activity,
203,GO:0033817,beta-ketoacyl-acyl-carrier-protein synthase II activity,
201,GO:0004365,glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity,
199,GO:0018580,nitronate monooxygenase activity,
199,GO:0003743,translation initiation factor activity,
195,GO:0004614,phosphoglucomutase activity,
189,GO:0004347,glucose-6-phosphate isomerase activity,
189,GO:0008965,phosphoenolpyruvate-protein phosphotransferase activity,
187,GO:0004356,glutamate-ammonia ligase activity,
186,GO:0051537,"2 iron, 2 sulfur cluster binding",
183,GO:0016462,pyrophosphatase activity,
182,GO:0004586,ornithine decarboxylase activity,
181,GO:0004521,endoribonuclease activity,
179,GO:0005198,structural molecule activity,
176,GO:0004493,methylmalonyl-CoA epimerase activity,
175,GO:0051745,4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity,
174,GO:0008184,glycogen phosphorylase activity,
173,GO:0102499,SHG alpha-glucan phosphorylase activity,
173,GO:0102250,linear malto-oligosaccharide phosphorylase activity,
173,GO:0004829,threonine-tRNA ligase activity,
172,GO:0008730,L(+)-tartrate dehydratase activity,
171,GO:0016627,"oxidoreductase activity, acting on the CH-CH group of donors",
171,GO:0003989,acetyl-CoA carboxylase activity,
168,GO:0000104,succinate dehydrogenase activity,
166,GO:0008774,acetaldehyde dehydrogenase (acetylating) activity,
165,GO:0009374,biotin binding,
165,GO:0004197,cysteine-type endopeptidase activity,
161,GO:0004845,uracil phosphoribosyltransferase activity,
160,GO:0097367,carbohydrate derivative binding,
159,GO:0003918,DNA topoisomerase type II (ATP-hydrolyzing) activity,
156,GO:0016152,mercury (II) reductase activity,
155,GO:0022857,transmembrane transporter activity,
153,GO:0004784,superoxide dismutase activity,
153,GO:0016832,aldehyde-lyase activity,
151,GO:0004820,glycine-tRNA ligase activity,
150,GO:0004749,ribose phosphate diphosphokinase activity,
149,GO:0016779,nucleotidyltransferase activity,
148,GO:0016866,intramolecular transferase activity,
147,GO:0004824,lysine-tRNA ligase activity,
147,GO:0004615,phosphomannomutase activity,
147,GO:0047154,methylmalonyl-CoA carboxytransferase activity,
146,GO:0003872,6-phosphofructokinase activity,
146,GO:0004813,alanine-tRNA ligase activity,
146,GO:0003887,DNA-directed DNA polymerase activity,
146,GO:0043565,sequence-specific DNA binding,
145,GO:0003938,IMP dehydrogenase activity,
144,GO:0004828,serine-tRNA ligase activity,
144,GO:0016805,dipeptidase activity,
143,GO:0008776,acetate kinase activity,
142,GO:0008901,ferredoxin hydrogenase activity,
142,GO:0016614,"oxidoreductase activity, acting on CH-OH group of donors",
141,GO:0051087,chaperone binding,
141,GO:0000155,phosphorelay sensor kinase activity,
141,GO:0008134,transcription factor binding,
139,GO:0004017,adenylate kinase activity,
139,GO:0010181,FMN binding,
137,GO:0004748,"ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor",
136,GO:0004040,amidase activity,
136,GO:0004815,aspartate-tRNA ligase activity,
135,GO:0008948,oxaloacetate decarboxylase activity,
134,GO:0004360,glutamine-fructose-6-phosphate transaminase (isomerizing) activity,
130,GO:0046538,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity",
130,GO:0004492,methylmalonyl-CoA decarboxylase activity,
129,GO:0004812,aminoacyl-tRNA ligase activity,
126,GO:0004832,valine-tRNA ligase activity,
122,GO:0004822,isoleucine-tRNA ligase activity,
122,GO:0016746,"transferase activity, transferring acyl groups",
121,GO:0003697,single-stranded DNA binding,
121,GO:0004318,enoyl-[acyl-carrier-protein] reductase (NADH) activity,
120,GO:0004534,5'-3' exoribonuclease activity,
120,GO:0008408,3'-5' exonuclease activity,
120,GO:0004619,phosphoglycerate mutase activity,
118,GO:0016151,nickel cation binding,
118,GO:0004616,phosphogluconate dehydrogenase (decarboxylating) activity,
117,GO:0004471,malate dehydrogenase (decarboxylating) (NAD+) activity,
117,GO:0004478,methionine adenosyltransferase activity,
117,GO:0004427,inorganic diphosphatase activity,
116,GO:0046527,glucosyltransferase activity,
116,GO:0004371,glycerone kinase activity,
116,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",
115,GO:0008973,phosphopentomutase activity,
115,GO:0016149,"translation release factor activity, codon specific",
115,GO:0004519,endonuclease activity,
114,GO:0004372,glycine hydroxymethyltransferase activity,
114,GO:0004160,dihydroxy-acid dehydratase activity,
113,GO:0004019,adenylosuccinate synthase activity,
113,GO:0004070,aspartate carbamoyltransferase activity,
113,GO:0043022,ribosome binding,
112,GO:0004970,ionotropic glutamate receptor activity,
111,GO:0015562,efflux transmembrane transporter activity,
111,GO:0016884,"carbon-nitrogen ligase activity, with glutamine as amido-N-donor",
110,GO:0004316,3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity,
110,GO:0004674,protein serine/threonine kinase activity,
109,GO:0102132,3-oxo-pimeloyl-[acp] methyl ester reductase activity,
109,GO:0102131,3-oxo-glutaryl-[acp] methyl ester reductase activity,
107,GO:0004654,polyribonucleotide nucleotidyltransferase activity,
107,GO:0008998,ribonucleoside-triphosphate reductase activity,
106,GO:0003684,damaged DNA binding,
105,GO:0003922,GMP synthase (glutamine-hydrolyzing) activity,
105,GO:0016668,"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor",
104,GO:0020037,heme binding,
104,GO:0016757,"transferase activity, transferring glycosyl groups",
102,GO:0004314,[acyl-carrier-protein] S-malonyltransferase activity,
102,GO:0004601,peroxidase activity,
101,GO:0004825,methionine-tRNA ligase activity,
101,GO:0047849,dextransucrase activity,
100,GO:0015144,carbohydrate transmembrane transporter activity,
100,GO:0102009,proline dipeptidase activity,
100,GO:0016831,carboxy-lyase activity,
98,GO:0008940,nitrate reductase activity,
98,GO:0018801,glutaconyl-CoA decarboxylase activity,
95,GO:0031072,heat shock protein binding,
93,GO:0004807,triose-phosphate isomerase activity,
93,GO:0042803,protein homodimerization activity,
93,GO:0003978,UDP-glucose 4-epimerase activity,
91,GO:0008379,thioredoxin peroxidase activity,
91,GO:0004818,glutamate-tRNA ligase activity,
90,GO:0008966,phosphoglucosamine mutase activity,
90,GO:0030246,carbohydrate binding,
88,GO:0005215,transporter activity,
87,GO:0009024,tagatose-6-phosphate kinase activity,
86,GO:0000286,alanine dehydrogenase activity,
86,GO:0000774,adenyl-nucleotide exchange factor activity,
86,GO:0008094,DNA-dependent ATPase activity,
85,GO:0052654,L-leucine transaminase activity,
85,GO:0052655,L-valine transaminase activity,
85,GO:0052656,L-isoleucine transaminase activity,
85,GO:0008797,aspartate ammonia-lyase activity,
85,GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",
85,GO:0000721,"(R,R)-butanediol dehydrogenase activity",
84,GO:0004473,malate dehydrogenase (decarboxylating) (NADP+) activity,
83,GO:0008804,carbamate kinase activity,
