size set 1,size set 2,execution time (s)
50,50,2.880535840988159
100,100,2.7087550163269043
150,150,2.73244309425354
200,200,2.8023910522460938
250,250,3.0545899868011475
300,300,3.0814199447631836
350,350,3.385300874710083
400,400,4.570935010910034
450,450,4.0725157260894775
500,500,4.032726049423218
550,550,5.737282991409302
600,600,5.895291090011597
650,650,6.175822973251343
700,700,6.792717933654785
750,750,7.096682071685791
800,800,7.401607036590576
850,850,7.8788981437683105
900,900,8.07218599319458
950,950,7.4180920124053955
1000,1000,7.877618789672852
1050,1050,8.21276593208313
1100,1100,8.616305112838745
1150,1150,9.550107955932617
1200,1200,10.483850955963135
1250,1250,10.700399160385132
1300,1300,11.105735301971436
1350,1350,11.082716226577759
1400,1400,11.68288803100586
1450,1450,12.254587173461914
1500,1500,12.538345098495483
1550,1550,13.25433087348938
1600,1600,13.656913995742798
1650,1650,14.482091903686523
1700,1700,14.88738203048706
1750,1750,15.365341901779175
1800,1800,16.3311448097229
1850,1850,16.95510506629944
1900,1900,17.544623136520386
1950,1950,18.40695309638977
2000,2000,18.892869234085083
2050,2050,19.54628825187683
2100,2100,20.489036083221436
2150,2150,20.95418119430542
2200,2200,22.09869122505188
2250,2250,24.295648097991943
2300,2300,28.530999183654785
2350,2350,28.843178033828735
2400,2400,28.08434772491455
2450,2450,29.25478768348694
2500,2500,29.300774097442627
2550,2550,33.59907674789429
2600,2600,32.682766914367676
2650,2650,32.79628586769104
2700,2700,32.0849289894104
2750,2750,33.91588997840881
