Level 1	Level 2	Accession	Description	Taxonomy	SC	MW	pI	PepC	SpC	www	
Technical term	Complete proteome	D5RE94	Acetyl-CoA C-acetyltransferase OS=Fusobacterium nucleatum subsp. nucleatum (strain ATCC 23726 / VPI 4351) OX=525283 GN=atoB PE=3 SV=1	root (No rank) [1]	0.067164	42.363	6.626106262207031	1	9	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	U7TPW0	Cysteine synthase A OS=Fusobacterium nucleatum CTI-6 OX=1316587 GN=HMPREF1767_01983 PE=4 SV=1	root (No rank) [1]	0.072368	32.346	6.380226135253906	1	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	J8VGI4	Cysteine synthase OS=Fusobacterium hwasookii ChDC F128 OX=1216362 GN=B437_09630 PE=4 SV=1	root (No rank) [1]	0.072368	32.38	6.378623962402344	1	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	Q8RHM6	Tyrosine phenol-lyase OS=Fusobacterium nucleatum subsp. nucleatum (strain ATCC 25586 / CIP 101130 / JCM 8532 / LMG 13131) OX=190304 GN=tpl PE=3 SV=1	root (No rank) [1]	0.047826	52.123	6.526985168457031	2	7	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	F9EJE5	Tyrosine phenol-lyase OS=Fusobacterium nucleatum subsp. animalis ATCC 51191 OX=997347 GN=tpl PE=3 SV=1	root (No rank) [1]	0.046218	53.976	6.423057556152344	2	7	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	D5RDF5	Tyrosine phenol-lyase OS=Fusobacterium nucleatum subsp. nucleatum (strain ATCC 23726 / VPI 4351) OX=525283 GN=tpl PE=3 SV=1	root (No rank) [1]	0.047826	52.137	6.526985168457031	2	7	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	J8VLZ4	Tyrosine phenol-lyase OS=Fusobacterium hwasookii ChDC F128 OX=1216362 GN=tpl PE=3 SV=1	root (No rank) [1]	0.047826	52.181	6.389945983886719	2	7	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	U7SLR0	Tyrosine phenol-lyase OS=Fusobacterium nucleatum CTI-5 OX=1316586 GN=tpl PE=3 SV=1	root (No rank) [1]	0.047826	52.078	6.268074035644531	2	7	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	X7RV37	Tyrosine phenol-lyase OS=Fusobacterium nucleatum 13_3C OX=1357398 GN=tpl PE=3 SV=1	root (No rank) [1]	0.047826	52.068	6.388450622558594	2	7	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	Q8RFC1	Urocanate hydratase OS=Fusobacterium nucleatum subsp. nucleatum (strain ATCC 25586 / CIP 101130 / JCM 8532 / LMG 13131) OX=190304 GN=hutU PE=3 SV=1	root (No rank) [1]	0.035661	75.473	5.991859436035156	2	6	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	D5RDU2	Urocanate hydratase OS=Fusobacterium nucleatum subsp. nucleatum (strain ATCC 23726 / VPI 4351) OX=525283 GN=hutU PE=3 SV=1	root (No rank) [1]	0.035661	75.472	6.072074890136719	2	6	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	D4CV91	Urocanate hydratase OS=Fusobacterium periodonticum ATCC 33693 OX=546275 GN=hutU PE=3 SV=1	root (No rank) [1]	0.035661	75.406	5.844886779785156	2	6	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	G6C3K3	Urocanate hydratase OS=Fusobacterium sp. oral taxon 370 str. F0437 OX=861452 GN=HMPREF9093_01145 PE=3 SV=1	root (No rank) [1]	0.036364	73.946	6.173866271972656	2	6	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	T0UJ87	Outer membrane protein A OS=Veillonella parvula HSIVP1 OX=1316254 GN=HSIVP1_1226 PE=3 SV=1	root (No rank) [1]	0.095652	37.437	9.086082458496094	3	6	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	D6KQX4	Outer membrane protein OprF OS=Veillonella sp. 6_1_27 OX=450749 GN=HMPREF0874_01371 PE=3 SV=1	root (No rank) [1]	0.095652	37.422	9.075614929199219	3	6	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	D1BL94	OmpA/MotB domain protein OS=Veillonella parvula (strain ATCC 10790 / DSM 2008 / JCM 12972 / Te3) OX=479436 GN=Vpar_0467 PE=3 SV=1	root (No rank) [1]	0.095652	37.423	9.086082458496094	3	6	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
