Level 1	Accession	Description	Taxonomy	SC	MW	pI	PepC	SpC	www	
Unclassified	A0A0E2UAG2	Phosphoglycerate kinase OS=Streptococcus parauberis OX=1348 GN=pgk PE=3 SV=1	root (No rank) [1]	0.042714	42.448	4.828254699707031	1	3	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0P6S6C5	Phosphoglycerate kinase OS=Streptococcus phocae OX=119224 GN=pgk PE=3 SV=1	root (No rank) [1]	0.042714	42.119	4.857841491699219	1	3	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A081Q7F5	Phosphoglycerate kinase OS=Streptococcus mitis OX=28037 GN=pgk PE=3 SV=1	root (No rank) [1]	0.042714	41.913	4.919044494628906	1	3	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A081R024	Phosphoglycerate kinase OS=Streptococcus mitis OX=28037 GN=pgk PE=3 SV=1	root (No rank) [1]	0.042607	42.053	4.981208801269531	1	3	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0F3HKI0	Phosphoglycerate kinase OS=Streptococcus infantis OX=68892 GN=pgk PE=3 SV=1	root (No rank) [1]	0.042607	42.006	4.884757995605469	1	3	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A081JFK2	Phosphoglycerate kinase OS=Streptococcus macedonicus OX=59310 GN=pgk PE=3 SV=1	root (No rank) [1]	0.042714	42.116	5.020515441894531	1	3	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0D0YQJ4	Phosphoglycerate kinase OS=Streptococcus equi subsp. zooepidemicus Sz16 OX=1381085 GN=pgk PE=3 SV=1	root (No rank) [1]	0.042714	42.228	4.961982727050781	1	3	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A139PFW3	Phosphoglycerate kinase OS=Streptococcus oralis OX=1303 GN=pgk PE=3 SV=1	root (No rank) [1]	0.042607	41.992	4.884757995605469	1	3	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0M4KLJ2	Phosphoglycerate kinase OS=Streptococcus gordonii OX=1302 GN=pgk PE=3 SV=1	root (No rank) [1]	0.042607	42.079	4.884117126464844	1	3	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0E2IR07	Phosphoglycerate kinase OS=Streptococcus intermedius ATCC 27335 OX=1316583 GN=pgk PE=3 SV=1	root (No rank) [1]	0.042714	42.129	4.980995178222656	1	3	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0F3HV05	Phosphoglycerate kinase OS=Streptococcus gordonii OX=1302 GN=pgk PE=3 SV=1	root (No rank) [1]	0.042607	42.049	4.884117126464844	1	3	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A1C2CXF9	Phosphoglycerate kinase OS=Streptococcus dysgalactiae subsp. equisimilis OX=119602 GN=pgk PE=3 SV=1	root (No rank) [1]	0.042714	41.926	4.846733093261719	1	3	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0E2ER17	Phosphoglycerate kinase OS=Streptococcus mutans SM6 OX=857119 GN=pgk PE=3 SV=1	root (No rank) [1]	0.042714	41.977	5.231681823730469	1	3	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A139QG11	Phosphoglycerate kinase OS=Streptococcus constellatus OX=76860 GN=pgk PE=3 SV=1	root (No rank) [1]	0.042714	42.173	5.194404602050781	1	3	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0F2CZB6	Phosphoglycerate kinase OS=Streptococcus oralis subsp. oralis OX=1891914 GN=pgk PE=3 SV=1	root (No rank) [1]	0.042607	42.079	4.890419006347656	1	3	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A1S1GYZ1	Phosphoglycerate kinase OS=Streptococcus sp. HMSC34B10 OX=1608856 GN=pgk PE=3 SV=1	root (No rank) [1]	0.042607	42.007	4.930366516113281	1	3	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
