Level 1	Level 2	Level 3	Accession	Description	Taxonomy	SC	MW	pI	PepC	SpC	www	
Unclassified			A0A0T7IE38	Enolase OS=Streptococcus pneumoniae OX=1313 GN=eno PE=3 SV=1	root (No rank) [1]	0.218894	47.016	4.716102600097656	5	19	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A081QQC5	Enolase OS=Streptococcus mitis OX=28037 GN=eno PE=3 SV=1	root (No rank) [1]	0.218894	47.055	4.693351745605469	5	19	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A0T7K4I8	Enolase OS=Streptococcus pneumoniae OX=1313 GN=eno PE=3 SV=1	root (No rank) [1]	0.218894	46.918	4.662910461425781	5	19	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A100GPC0	Enolase OS=Streptococcus pneumoniae OX=1313 GN=eno PE=3 SV=1	root (No rank) [1]	0.218894	47.086	4.694953918457031	5	19	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A127TSM0	Enolase OS=Streptococcus sp. A12 OX=1759399 GN=eno PE=3 SV=1	root (No rank) [1]	0.218894	47.088	4.700721740722656	5	19	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A081QA14	Enolase OS=Streptococcus mitis OX=28037 GN=eno PE=3 SV=1	root (No rank) [1]	0.216895	47.528	4.694953918457031	5	19	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			F2C6N9	Enolase OS=Streptococcus sanguinis SK330 OX=888813 GN=eno PE=3 SV=1	root (No rank) [1]	0.175115	47.015	4.716102600097656	4	18	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A2I1ZBV7	Enolase OS=Streptococcus salivarius OX=1304 GN=eno PE=3 SV=1	root (No rank) [1]	0.175115	47.001	4.710227966308594	4	18	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A134D9M2	Enolase OS=Streptococcus gordonii OX=1302 GN=eno PE=3 SV=1	root (No rank) [1]	0.175115	47.015	4.716102600097656	4	18	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			E1LKY0	Enolase OS=Streptococcus mitis SK564 OX=585203 GN=eno PE=3 SV=1	root (No rank) [1]	0.154378	46.827	4.682991027832031	4	18	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A081QYJ6	Enolase OS=Streptococcus mitis OX=28037 GN=eno PE=3 SV=1	root (No rank) [1]	0.154378	46.871	4.662910461425781	4	18	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A178KJ02	Enolase OS=Streptococcus sp. CCUG 49591 OX=1860161 GN=eno PE=3 SV=1	root (No rank) [1]	0.154378	47.041	4.694953918457031	4	18	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A095ZBH3	Enolase OS=Peptoniphilus lacrimalis DNF00528 OX=1401070 GN=eno PE=3 SV=1	root (No rank) [1]	0.154378	46.987	4.632362365722656	4	18	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A1E8UPV9	Enolase OS=Streptococcus sp. HMSC073D05 OX=1739336 GN=eno PE=3 SV=1	root (No rank) [1]	0.154378	46.955	4.669105529785156	4	18	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A1X1K2J6	Enolase OS=Streptococcus mitis OX=28037 GN=eno PE=3 SV=1	root (No rank) [1]	0.154378	46.901	4.662910461425781	4	18	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A2I1TU62	Enolase OS=Streptococcus parasanguinis OX=1318 GN=eno PE=3 SV=1	root (No rank) [1]	0.154378	46.913	4.638130187988281	4	18	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A0F2CNT5	Enolase OS=Streptococcus gordonii OX=1302 GN=eno PE=3 SV=1	root (No rank) [1]	0.175115	47.031	4.716102600097656	4	18	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A0F5MHM2	Enolase OS=Streptococcus gordonii OX=1302 GN=eno PE=3 SV=1	root (No rank) [1]	0.175115	47.016	4.694953918457031	4	18	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A0I8YWW8	Enolase OS=Streptococcus pneumoniae OX=1313 GN=eno PE=3 SV=1	root (No rank) [1]	0.175115	47.06	4.694953918457031	4	18	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A139P7A9	Enolase OS=Streptococcus sp. DD11 OX=1777879 GN=eno PE=3 SV=1	root (No rank) [1]	0.175115	47.015	4.721977233886719	4	18	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A1X1IS63	Enolase OS=Streptococcus oralis subsp. dentisani OX=1458253 GN=eno PE=3 SV=1	root (No rank) [1]	0.154378	46.912	4.613670349121094	4	18	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A0F3HCW2	Enolase OS=Streptococcus infantis OX=68892 GN=eno PE=3 SV=1	root (No rank) [1]	0.154378	46.927	4.662910461425781	4	18	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A0F2D2U4	Enolase OS=Streptococcus oralis subsp. oralis OX=1891914 GN=eno PE=3 SV=1	root (No rank) [1]	0.154378	46.813	4.682991027832031	4	18	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A1F0B0L3	Enolase OS=Streptococcus sp. HMSC057G03 OX=1715165 GN=eno PE=3 SV=1	root (No rank) [1]	0.154378	47.03	4.663337707519531	4	18	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A139RNI8	Enolase OS=Streptococcus oralis OX=1303 GN=eno PE=3 SV=1	root (No rank) [1]	0.154378	46.899	4.662910461425781	4	18	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A1S1H1A7	Enolase OS=Streptococcus sp. HMSC34B10 OX=1608856 GN=eno PE=3 SV=1	root (No rank) [1]	0.154378	46.962	4.643898010253906	4	18	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A139MBU8	Enolase OS=Streptococcus oralis OX=1303 GN=eno PE=3 SV=1	root (No rank) [1]	0.154378	46.912	4.662910461425781	4	18	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A0E4H567	Enolase OS=Streptococcus varani OX=1608583 GN=eno PE=3 SV=1	root (No rank) [1]	0.174713	47.093	4.662590026855469	4	18	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
