Level 1	Level 2	Level 3	Accession	Description	Taxonomy	SC	MW	pI	PepC	SpC	www	
Unclassified			A0A2B7YT82	Elongation factor Tu OS=Fusobacterium nucleatum subsp. animalis OX=76859 GN=tuf PE=3 SV=1	root (No rank) [1]	0.043147	43.559	5.290855407714844	2	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A0S2ZL99	Elongation factor Tu OS=Fusobacterium hwasookii ChDC F174 OX=1307442 GN=tuf PE=3 SV=1	root (No rank) [1]	0.043147	43.202	5.154991149902344	2	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			D4CVQ3	Elongation factor Tu OS=Fusobacterium periodonticum ATCC 33693 OX=546275 GN=tuf PE=3 SV=1	root (No rank) [1]	0.043147	43.254	5.266822814941406	2	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A2A5QI34	Elongation factor Tu OS=Fusobacterium nucleatum OX=851 GN=tuf PE=3 SV=1	root (No rank) [1]	0.043147	43.313	5.218437194824219	2	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A246EI34	Elongation factor Tu OS=Fusobacterium nucleatum subsp. polymorphum OX=76857 GN=tuf PE=3 SV=1	root (No rank) [1]	0.043147	43.325	5.227836608886719	2	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A2D3P9Z4	Elongation factor Tu OS=Fusobacterium periodonticum OX=860 GN=tuf PE=3 SV=1	root (No rank) [1]	0.043147	43.309	5.266822814941406	2	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			G6C5P4	Elongation factor Tu OS=Fusobacterium sp. oral taxon 370 str. F0437 OX=861452 GN=tuf PE=3 SV=1	root (No rank) [1]	0.043147	43.34	5.215766906738281	2	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			D6LDN5	Elongation factor Tu OS=Fusobacterium periodonticum 1_1_41FAA OX=469621 GN=tuf PE=3 SV=1	root (No rank) [1]	0.043147	43.296	5.262123107910156	2	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A2G9EI98	Elongation factor Tu OS=Fusobacterium periodonticum OX=860 GN=tuf PE=3 SV=1	root (No rank) [1]	0.043147	43.282	5.266822814941406	2	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A2D3M1B0	Elongation factor Tu OS=Fusobacterium periodonticum OX=860 GN=tuf PE=3 SV=1	root (No rank) [1]	0.043147	43.327	5.223136901855469	2	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			X8IAW6	Elongation factor Tu OS=Fusobacterium sp. CM1 OX=936561 GN=tuf PE=3 SV=1	root (No rank) [1]	0.043147	43.491	5.179344177246094	2	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A1F0DY37	Elongation factor Tu OS=Fusobacterium sp. HMSC064B11 OX=1739543 GN=tuf PE=3 SV=1	root (No rank) [1]	0.043147	43.313	5.218437194824219	2	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A133P408	Elongation factor Tu OS=Fusobacterium nucleatum OX=851 GN=tuf PE=3 SV=1	root (No rank) [1]	0.043147	43.49	5.231468200683594	2	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A223AUV9	Elongation factor Tu OS=Fusobacterium sp. oral taxon 203 OX=671211 GN=tuf PE=3 SV=1	root (No rank) [1]	0.043147	43.328	5.219505310058594	2	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A0S2ZQP6	Elongation factor Tu OS=Fusobacterium nucleatum subsp. polymorphum OX=76857 GN=tuf PE=3 SV=1	root (No rank) [1]	0.043147	43.327	5.218437194824219	2	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			J8VHD5	Elongation factor Tu OS=Fusobacterium hwasookii ChDC F128 OX=1216362 GN=tuf PE=3 SV=1	root (No rank) [1]	0.043147	43.189	5.154991149902344	2	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A2D3PBV8	Elongation factor Tu OS=Fusobacterium periodonticum OX=860 GN=tuf PE=3 SV=1	root (No rank) [1]	0.043147	43.31	5.209892272949219	2	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A2G9ECB5	Elongation factor Tu OS=Fusobacterium periodonticum OX=860 GN=tuf PE=3 SV=1	root (No rank) [1]	0.043147	43.381	5.275047302246094	2	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			D6KQI8	Translation elongation factor Tu OS=Veillonella sp. 6_1_27 OX=450749 GN=HMPREF0874_01229 PE=4 SV=1	root (No rank) [1]	0.116608	31.017	4.612815856933594	2	7	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			D6KM38	Translation elongation factor Tu (Fragment) OS=Veillonella sp. 3_1_44 OX=457416 GN=HMPREF0873_01875 PE=4 SV=1	root (No rank) [1]	0.154206	23.659	4.657569885253906	2	7	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
